target,candidate_set,diagnostic,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
ERN1,context,partner_training_seen,4,200,204,0.4975,0.019513574660633484,1,52,26.5,0.08727007597495093,0.09615384615384616,0.02403846153846154,0.019230769230769232,0.9807692307692308,0.022134992658227024,0.09615384615384637,0.19230769230769232,0.04807692307692308,0.019230769230769232,0.9807692307692308,0.03410990233740402,0.1923076923076925,0.38461538461538464,0.09615384615384616,0.019230769230769232,0.9807692307692308,0.0528534677479445,0.3846153846153849
ERN1,context,partner_positive_degree,4,200,204,0.5,0.023965141612200435,25,27,26.0,0.03849952516619183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,context,partner_positive_degree_fraction,4,200,204,0.401875,0.01791742598512234,22,177,60.75,0.02099773483936526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,background,partner_training_seen,4,200,204,0.505,0.019807923169267706,1,49,25.0,0.09141235384345764,0.10204081632653061,0.025510204081632654,0.020408163265306124,1.0408163265306123,0.02349019629036337,0.10204081632653073,0.20408163265306123,0.05102040816326531,0.020408163265306124,1.0408163265306123,0.036198263705000185,0.20408163265306145,0.40816326530612246,0.10204081632653061,0.020408163265306124,1.0408163265306123,0.05608939434475742,0.4081632653061228
ERN1,background,partner_positive_degree,4,200,204,0.50375,0.024321266968325792,26,26,26.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,background,partner_positive_degree_fraction,4,200,204,0.3975,0.017671426053234622,21,181,61.0,0.02125963102909055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,low_plausibility,partner_training_seen,4,200,204,0.485,0.019091847265221878,1,57,29.0,0.08121075814793602,0.08771929824561403,0.021929824561403508,0.017543859649122806,0.8947368421052632,0.02019332663557553,0.08771929824561409,0.17543859649122806,0.043859649122807015,0.017543859649122806,0.8947368421052632,0.031117805641140507,0.1754385964912284,0.3508771929824561,0.08771929824561403,0.017543859649122806,0.8947368421052632,0.048217198647247606,0.3508771929824567
ERN1,low_plausibility,partner_positive_degree,4,200,204,0.4725,0.021116138763197588,39,39,39.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,low_plausibility,partner_positive_degree_fraction,4,200,204,0.395,0.018117269812185068,29,175,65.5,0.018256962017432956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,context_background,partner_training_seen,4,400,404,0.50125,0.009925742574257426,1,100,50.5,0.051873775176396214,0.05,0.0125,0.01,1.01,0.011510196182278052,0.050000000000000044,0.1,0.025,0.01,1.01,0.01773714921545009,0.10000000000000009,0.2,0.05,0.01,1.01,0.02748380322893114,0.20000000000000018
ERN1,context_background,partner_positive_degree,4,400,404,0.501875,0.012233434881949733,50,52,51.0,0.019612870789341375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,context_background,partner_positive_degree_fraction,4,400,404,0.3996875,0.008977436571023092,42,357,120.75,0.010663884271846075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,all_U,partner_training_seen,4,600,604,0.49583333333333335,0.006569451519782646,1,156,78.5,0.03609149600056408,0.03205128205128205,0.008012820512820512,0.00641025641025641,0.967948717948718,0.007378330886075674,0.03205128205128194,0.0641025641025641,0.016025641025641024,0.00641025641025641,0.967948717948718,0.011369967445801338,0.06410256410256421,0.1282051282051282,0.03205128205128205,0.00641025641025641,0.967948717948718,0.017617822582648164,0.12820512820512808
ERN1,all_U,partner_positive_degree,4,600,604,0.4920833333333333,0.007744665194996321,88,90,89.0,0.011236900843642416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,all_U,partner_positive_degree_fraction,4,600,604,0.398125,0.00603957018591165,70,531,185.25,0.006760288292978788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,context,partner_training_seen,3,150,153,0.7233333333333334,0.04463118580765639,1,34,12.0,0.18510478935393293,0.2857142857142857,0.09523809523809523,0.05714285714285714,2.914285714285714,0.07906566508788,0.26890756302521013,0.5714285714285714,0.19047619047619047,0.05714285714285714,2.914285714285714,0.12183975644496556,0.495798319327731,1.1428571428571428,0.38095238095238093,0.05714285714285714,2.914285714285714,0.18879132440727764,0.8235294117647058
TP53,context,partner_positive_degree,3,150,153,0.7522222222222222,0.20350564468211527,2,2,2.0,0.5,1.0,0.3333333333333333,0.2,10.200000000000001,0.2960819109658652,1.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.2960819109658652,1.0,1.3333333333333333,0.4444444444444444,0.06666666666666667,3.4,0.331695512386462,1.0
TP53,context,partner_positive_degree_fraction,3,150,153,0.4777777777777778,0.037148598106543154,13,13,13.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0165289256198347,0.33884297520661155,0.050826446280991734,2.5921487603305784,0.12503618363373858,1.0
TP53,background,partner_training_seen,3,150,153,0.7366666666666667,0.04954670040059034,1,30,10.666666666666666,0.20181634636243465,0.3225806451612903,0.10752688172043011,0.06451612903225806,3.290322580645161,0.08926768638954194,0.30107526881720426,0.6451612903225806,0.21505376344086022,0.06451612903225806,3.290322580645161,0.13756101534109014,0.5483870967741935,1.2903225806451613,0.43010752688172044,0.06451612903225806,3.290322580645161,0.21315149529853927,0.8817204301075269
TP53,background,partner_positive_degree,3,150,153,0.7777777777777778,0.39115133232780286,1,1,1.0,1.0,1.0,0.3333333333333333,0.2,10.200000000000001,0.46927872602275644,1.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.46927872602275644,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.59253456521548,1.0
TP53,background,partner_positive_degree_fraction,3,150,153,0.48777777777777775,0.039388997608175685,12,12,12.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032258064516129,0.3440860215053763,0.05161290322580645,2.632258064516129,0.13035276651882408,1.0
TP53,low_plausibility,partner_training_seen,3,150,153,0.79,0.09542483660130718,1,14,5.333333333333333,0.3311755704612847,0.6666666666666666,0.2222222222222222,0.13333333333333333,6.8,0.18448655187172,0.5714285714285714,1.3333333333333333,0.4444444444444444,0.13333333333333333,6.8,0.28429276503825296,0.9047619047619048,2.036231884057971,0.678743961352657,0.10181159420289856,5.192391304347827,0.3707564580251313,1.0
TP53,low_plausibility,partner_positive_degree,3,150,153,0.8155555555555556,0.5065359477124183,1,1,1.0,1.0,2.0,0.6666666666666666,0.4,20.400000000000002,0.6713860725233041,1.0,2.0,0.6666666666666666,0.2,10.200000000000001,0.6713860725233041,1.0,2.0431654676258995,0.6810551558752999,0.10215827338129498,5.210071942446044,0.6762102591229378,1.0
TP53,low_plausibility,partner_positive_degree_fraction,3,150,153,0.5033333333333333,0.07799533799533799,5,5,5.0,0.2,1.0,0.3333333333333333,0.2,10.200000000000001,0.18154179253735267,1.0,1.036231884057971,0.34541062801932365,0.1036231884057971,5.284782608695652,0.1869660432529251,1.0,1.108695652173913,0.3695652173913044,0.05543478260869565,2.8271739130434783,0.19545627832060963,1.0
TP53,context_background,partner_training_seen,3,300,303,0.73,0.024133663366336634,1,63,21.666666666666668,0.1188536794827228,0.15625,0.052083333333333336,0.03125,3.15625,0.04323903559493438,0.15128968253968256,0.3125,0.10416666666666667,0.03125,3.15625,0.06663111680584055,0.2901785714285715,0.625,0.20833333333333334,0.03125,3.15625,0.10324525553522997,0.5307539682539683
TP53,context_background,partner_positive_degree,3,300,303,0.765,0.19016901690169016,2,2,2.0,0.5,1.0,0.3333333333333333,0.2,20.2,0.2960819109658652,1.0,1.0,0.3333333333333333,0.1,10.1,0.2960819109658652,1.0,1.0,0.3333333333333333,0.05,5.05,0.2960819109658652,1.0
TP53,context_background,partner_positive_degree_fraction,3,300,303,0.48277777777777775,0.019720285291968197,24,24,24.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,all_U,partner_training_seen,3,450,453,0.75,0.019523522834781114,1,76,26.0,0.1033552773230764,0.12987012987012986,0.04329004329004329,0.025974025974025972,3.922077922077922,0.035938938676309096,0.12645249487354737,0.2597402597402597,0.08658008658008658,0.025974025974025972,3.922077922077922,0.05538170747498435,0.244360902255639,0.5194805194805194,0.17316017316017315,0.025974025974025972,3.922077922077922,0.08581423836694438,0.4545454545454545
TP53,all_U,partner_positive_degree,3,450,453,0.7818518518518518,0.1879217912330495,2,2,2.0,0.5,1.0,0.3333333333333333,0.2,30.200000000000003,0.2960819109658652,1.0,1.0,0.3333333333333333,0.1,15.100000000000001,0.2960819109658652,1.0,1.0,0.3333333333333333,0.05,7.550000000000001,0.2960819109658652,1.0
TP53,all_U,partner_positive_degree_fraction,3,450,453,0.48962962962962964,0.015777562564518566,28,28,28.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,context,partner_training_seen,3,150,153,0.3233333333333333,0.0196078431372549,54,151,78.25,0.013487836871629832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,context,partner_positive_degree,3,150,153,0.3233333333333333,0.0196078431372549,54,151,78.25,0.013487836871629832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,context,partner_positive_degree_fraction,3,150,153,0.49,0.023076923076923078,27,128,52.25,0.021861842962796283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,background,partner_training_seen,3,150,153,0.38666666666666666,0.0196078431372549,35,151,64.0,0.017539720539363902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,background,partner_positive_degree,3,150,153,0.38666666666666666,0.0196078431372549,35,151,64.0,0.017539720539363902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,background,partner_positive_degree_fraction,3,150,153,0.51,0.021739130434782608,13,136,43.75,0.031228285285599396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.06349206349206349,0.009523809523809523,0.48571428571428565,0.021760319817615965,0.17998156682027666
EGFR,low_plausibility,partner_training_seen,3,150,153,0.3433333333333333,0.0196078431372549,48,151,73.75,0.014516954984563572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,low_plausibility,partner_positive_degree,3,150,153,0.3433333333333333,0.0196078431372549,48,151,73.75,0.014516954984563572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,low_plausibility,partner_positive_degree_fraction,3,150,153,0.44,0.02158273381294964,33,137,59.0,0.018910981427327132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,context_background,partner_training_seen,3,300,303,0.355,0.009900990099009901,88,301,141.25,0.0076545780013835725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,context_background,partner_positive_degree,3,300,303,0.355,0.009900990099009901,88,301,141.25,0.0076545780013835725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,context_background,partner_positive_degree_fraction,3,300,303,0.5,0.011320754716981131,39,263,95.0,0.012867282282332065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,all_U,partner_training_seen,3,450,453,0.3511111111111111,0.006622516556291391,135,451,214.0,0.005033788867431585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,all_U,partner_positive_degree,3,450,453,0.3511111111111111,0.006622516556291391,135,451,214.0,0.005033788867431585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
