cohort,model,positive_subset,candidate_set,planned_targets,targets,omitted_targets,P,U,macro_P_vs_U_concordance,MAP,MRR,mean_first_positive_rank,total_recovered_P_at_5,target_success_count_at_5,macro_recall_at_5,macro_known_positive_precision_at_5,macro_EF_at_5,macro_NDCG_at_5,macro_target_success_at_5,total_recovered_P_at_10,target_success_count_at_10,macro_recall_at_10,macro_known_positive_precision_at_10,macro_EF_at_10,macro_NDCG_at_10,macro_target_success_at_10,total_recovered_P_at_20,target_success_count_at_20,macro_recall_at_20,macro_known_positive_precision_at_20,macro_EF_at_20,macro_NDCG_at_20,macro_target_success_at_20
all_twelve,tuna_retrained,all_P,all_U,12,12,,37,5550,0.7803047839506173,0.10610512426829666,0.23726143591339674,24.5,4.0,3.0,0.10416666666666667,0.06666666666666667,10.066666666666668,0.10532278908466279,0.25,7.0,6.0,0.1875,0.05833333333333333,8.808333333333334,0.14289390440812802,0.5,7.0,6.0,0.1875,0.029166666666666664,4.404166666666667,0.14289390440812802,0.5
all_twelve,tuna_original,all_P,all_U,12,12,,37,5550,0.8042206790123457,0.18358856395766174,0.34560047023732415,25.166666666666668,8.0,5.0,0.21527777777777776,0.13333333333333333,20.133333333333333,0.2099020226712857,0.4166666666666667,10.0,6.0,0.2708333333333333,0.08333333333333333,12.583333333333334,0.23354310008090073,0.5,11.0,7.0,0.2986111111111111,0.04583333333333334,6.920833333333334,0.24244650043604996,0.5833333333333334
all_twelve,tuna_retrained,exclude_development_P,all_U,12,12,,36,5550,0.7703356481481481,0.1058519090369819,0.2369517211183878,36.083333333333336,4.0,3.0,0.10416666666666667,0.06666666666666667,10.066666666666668,0.10532278908466279,0.25,7.0,6.0,0.1875,0.05833333333333333,8.808333333333334,0.14289390440812802,0.5,7.0,6.0,0.1875,0.029166666666666664,4.404166666666667,0.14289390440812802,0.5
all_twelve,tuna_original,exclude_development_P,all_U,12,12,,36,5550,0.7936342592592593,0.17423875654388432,0.31839346871525415,37.083333333333336,7.0,4.0,0.1875,0.11666666666666665,17.616666666666667,0.19034874242033753,0.3333333333333333,9.0,5.0,0.24305555555555555,0.07500000000000001,11.324999999999998,0.21398981982995258,0.4166666666666667,10.0,6.0,0.2708333333333333,0.041666666666666664,6.291666666666667,0.22289322018510174,0.5
all_twelve,tuna_retrained,exclude_development_P_and_homomers,all_U,12,12,,35,5550,0.762638888888889,0.08485565341995836,0.15433063849730516,45.75,3.0,2.0,0.08333333333333333,0.05000000000000001,7.550000000000001,0.07279111825198764,0.16666666666666666,6.0,5.0,0.16666666666666666,0.05000000000000001,7.550000000000001,0.11036223357545287,0.4166666666666667,6.0,5.0,0.16666666666666666,0.025000000000000005,3.7750000000000004,0.11036223357545287,0.4166666666666667
all_twelve,tuna_original,exclude_development_P_and_homomers,all_U,12,12,,35,5550,0.7883333333333334,0.1532406891521176,0.23586141743320285,45.666666666666664,6.0,3.0,0.16666666666666666,0.10000000000000002,15.1,0.15781707158766242,0.25,8.0,4.0,0.2222222222222222,0.06666666666666667,10.066666666666666,0.18145814899727744,0.3333333333333333,9.0,5.0,0.25,0.037500000000000006,5.662499999999999,0.19036154935242663,0.4166666666666667
all_twelve,tuna_retrained,exclude_prior_train_development_P,all_U,12,12,,34,5550,0.7458912037037037,0.06418936778285649,0.15403505445172114,52.666666666666664,2.0,2.0,0.048611111111111105,0.03333333333333333,5.033333333333334,0.04937394970772077,0.16666666666666666,5.0,5.0,0.13194444444444445,0.041666666666666664,6.291666666666667,0.086945065031186,0.4166666666666667,5.0,5.0,0.13194444444444445,0.020833333333333332,3.1458333333333335,0.086945065031186,0.4166666666666667
all_twelve,tuna_original,exclude_prior_train_development_P,all_U,12,12,,34,5550,0.7606712962962964,0.14924102597017336,0.27703544402389607,59.416666666666664,5.0,3.0,0.13194444444444445,0.08333333333333333,12.583333333333334,0.15054676712840273,0.25,7.0,4.0,0.1875,0.05833333333333334,8.808333333333332,0.17418784453801775,0.3333333333333333,8.0,5.0,0.2152777777777778,0.03333333333333333,5.033333333333334,0.18309124489316694,0.4166666666666667
all_twelve,tuna_retrained,exclude_prior_train_development_P_and_homomers,all_U,12,12,,33,5550,0.7381944444444445,0.04319311216583294,0.0714139718306385,62.333333333333336,1.0,1.0,0.027777777777777776,0.016666666666666666,2.516666666666667,0.016842278875045632,0.08333333333333333,4.0,4.0,0.1111111111111111,0.03333333333333333,5.033333333333334,0.05441339419851085,0.3333333333333333,4.0,4.0,0.1111111111111111,0.016666666666666666,2.516666666666667,0.05441339419851085,0.3333333333333333
all_twelve,tuna_original,exclude_prior_train_development_P_and_homomers,all_U,12,12,,33,5550,0.7553703703703705,0.12824295857840665,0.1945033927418448,68.0,4.0,2.0,0.1111111111111111,0.06666666666666667,10.066666666666666,0.11801509629572758,0.16666666666666666,6.0,3.0,0.16666666666666666,0.049999999999999996,7.55,0.14165617370534261,0.25,7.0,4.0,0.19444444444444445,0.02916666666666667,4.404166666666666,0.15055957406049178,0.3333333333333333
