omitted_target,candidate_set,comparator,metric,original_mean,comparator_mean,difference,targets
CTNNB1,low_plausibility,ipin_baseline,average_precision,0.5130844434270592,0.23029066314807356,0.28279378027898566,11
TNFRSF1A,low_plausibility,ipin_baseline,average_precision,0.47758489220608563,0.26371433532960736,0.21387055687647835,11
BECN1,low_plausibility,ipin_baseline,average_precision,0.45634981415282583,0.2188368391942496,0.23751297495857626,11
ERN1,low_plausibility,ipin_optimized,P_vs_U_concordance,0.8676767676767677,0.8468686868686869,0.02080808080808081,11
TP53,low_plausibility,ipin_optimized,P_vs_U_concordance,0.8675252525252525,0.8317045454545454,0.035820707070707065,11
EGFR,low_plausibility,ipin_optimized,P_vs_U_concordance,0.8663131313131313,0.8286742424242424,0.03763888888888889,11
BCL2,low_plausibility,ipin_optimized,P_vs_U_concordance,0.9059090909090911,0.801199494949495,0.10470959595959596,11
KEAP1,low_plausibility,ipin_optimized,P_vs_U_concordance,0.8832828282828283,0.8242297979797981,0.0590530303030303,11
BRCA1,low_plausibility,ipin_optimized,P_vs_U_concordance,0.8663131313131313,0.8014015151515153,0.06491161616161617,11
KRAS,low_plausibility,ipin_optimized,P_vs_U_concordance,0.8806565656565657,0.8005934343434343,0.08006313131313131,11
CDK2,low_plausibility,ipin_optimized,P_vs_U_concordance,0.8768181818181818,0.802209595959596,0.07460858585858586,11
HIF1A,low_plausibility,ipin_optimized,P_vs_U_concordance,0.8705555555555555,0.8220075757575759,0.0485479797979798,11
CTNNB1,low_plausibility,ipin_optimized,P_vs_U_concordance,0.8927777777777778,0.8199873737373738,0.07279040404040404,11
TNFRSF1A,low_plausibility,ipin_optimized,P_vs_U_concordance,0.8681313131313132,0.8102904040404041,0.05784090909090909,11
BECN1,low_plausibility,ipin_optimized,P_vs_U_concordance,0.8834848484848485,0.815138888888889,0.06834595959595959,11
ERN1,low_plausibility,ipin_optimized,average_precision,0.46527428614547967,0.4273538049612806,0.03792048118419899,11
TP53,low_plausibility,ipin_optimized,average_precision,0.44728186190305536,0.43010509287639825,0.017176769026657237,11
EGFR,low_plausibility,ipin_optimized,average_precision,0.42707984170103513,0.42974848266892546,-0.002668640967890258,11
BCL2,low_plausibility,ipin_optimized,average_precision,0.511191753859369,0.37982438079677167,0.13136737306259738,11
KEAP1,low_plausibility,ipin_optimized,average_precision,0.4842504785508164,0.4000589849023435,0.08419149364847295,11
BRCA1,low_plausibility,ipin_optimized,average_precision,0.42707984170103513,0.38285468382707466,0.04422515787396054,11
KRAS,low_plausibility,ipin_optimized,average_precision,0.5096976868188803,0.35002640099879184,0.1596712858200885,11
CDK2,low_plausibility,ipin_optimized,average_precision,0.5077676723888659,0.365177916150307,0.14258975623855893,11
HIF1A,low_plausibility,ipin_optimized,average_precision,0.4712356858568793,0.3983218555442463,0.07291383031263297,11
CTNNB1,low_plausibility,ipin_optimized,average_precision,0.5130844434270592,0.42754041703739804,0.08554402638966116,11
TNFRSF1A,low_plausibility,ipin_optimized,average_precision,0.47758489220608563,0.3943024952748861,0.08328239693119958,11
BECN1,low_plausibility,ipin_optimized,average_precision,0.45634981415282583,0.38164256261495344,0.07470725153787237,11
ERN1,low_plausibility,tuna_retrained,P_vs_U_concordance,0.8676767676767677,0.8472727272727273,0.020404040404040393,11
TP53,low_plausibility,tuna_retrained,P_vs_U_concordance,0.8675252525252525,0.8380176767676768,0.029507575757575746,11
EGFR,low_plausibility,tuna_retrained,P_vs_U_concordance,0.8663131313131313,0.8527651515151515,0.013547979797979786,11
BCL2,low_plausibility,tuna_retrained,P_vs_U_concordance,0.9059090909090911,0.8523611111111112,0.05354797979797979,11
KEAP1,low_plausibility,tuna_retrained,P_vs_U_concordance,0.8832828282828283,0.88125,0.0020328282828282677,11
BRCA1,low_plausibility,tuna_retrained,P_vs_U_concordance,0.8663131313131313,0.8347853535353537,0.03152777777777777,11
KRAS,low_plausibility,tuna_retrained,P_vs_U_concordance,0.8806565656565657,0.8341792929292929,0.046477272727272714,11
CDK2,low_plausibility,tuna_retrained,P_vs_U_concordance,0.8768181818181818,0.8357954545454547,0.04102272727272726,11
HIF1A,low_plausibility,tuna_retrained,P_vs_U_concordance,0.8705555555555555,0.84125,0.029305555555555543,11
