row_index,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score
0,0.855528712272644,-3.997744560241699,-3.329434394836426,-3.683217763900757,-3.6701322396596274
1,0.6366562247276306,-12.144438743591309,-11.096648216247559,-10.450021743774414,-11.230369567871094
2,0.6879025101661682,-8.436973571777344,-7.716250419616699,-10.07099723815918,-8.74140707651774
3,0.6290624141693115,-9.185290336608887,-7.340869903564453,-9.323583602905273,-8.616581281026205
4,0.7315930724143982,-8.473287582397461,-6.369482517242432,-10.794147491455078,-8.545639197031656
5,0.5403941869735718,-10.44301700592041,-8.248045921325684,-8.159398078918457,-8.950153668721518
6,0.73058021068573,-9.01672649383545,-7.380712985992432,-8.548116683959961,-8.315185387929281
7,0.6436832547187805,-8.237491607666016,-8.21057415008545,-9.598264694213867,-8.682110150655111
8,0.5995590686798096,-7.859025478363037,-8.437607765197754,-10.288212776184082,-8.861615339914957
9,0.8165854215621948,-12.036287307739258,-8.549335479736328,-9.919879913330078,-10.168500900268555
10,0.6177635192871094,-8.233404159545898,-6.088027477264404,-10.219608306884766,-8.180346647898356
11,0.7511456608772278,-11.562939643859863,-9.30601692199707,-11.467741012573242,-10.778899192810059
12,0.8394128680229187,-12.155266761779785,-9.612780570983887,-8.108489990234375,-9.958845774332682
13,0.5814074873924255,-8.7688570022583,-11.515450477600098,-8.336811065673828,-9.540372848510742
14,0.6886041164398193,-9.185602188110352,-7.893035411834717,-11.07208251953125,-9.383573373158773
15,0.7664676308631897,-3.681627035140991,-4.644753456115723,-8.714314460754395,-5.680231650670369
16,0.6609507203102112,-11.87496566772461,-9.01740550994873,-10.001779556274414,-10.298050244649252
17,0.43902790546417236,-7.248323917388916,-11.244751930236816,-10.83230209350586,-9.775125980377197
18,0.714790940284729,-8.586393356323242,-7.060352802276611,-10.373574256896973,-8.673440138498941
19,0.7288134694099426,-6.438389301300049,-5.184866905212402,-9.061275482177734,-6.8948438962300616
20,0.8008968234062195,-7.473989009857178,-7.302804946899414,-8.841365814208984,-7.872719923655192
21,0.5768027305603027,-7.807001113891602,-7.288336753845215,-11.176094055175781,-8.7571439743042
