target,model,positive_subset,U_stratum,P,U,P_vs_U_concordance
EGFR,tuna_original,all_P,all_U,3,300,0.9977777777777778
EGFR,tuna_original,all_P,context,3,150,0.9977777777777778
EGFR,tuna_original,all_P,background,3,150,0.9977777777777778
EGFR,tuna_original,exclude_development_P,all_U,3,300,0.9977777777777778
EGFR,tuna_original,exclude_development_P,context,3,150,0.9977777777777778
EGFR,tuna_original,exclude_development_P,background,3,150,0.9977777777777778
EGFR,tuna_original,exclude_development_P_and_homomers,all_U,3,300,0.9977777777777778
EGFR,tuna_original,exclude_development_P_and_homomers,context,3,150,0.9977777777777778
EGFR,tuna_original,exclude_development_P_and_homomers,background,3,150,0.9977777777777778
EGFR,tuna_retrained,all_P,all_U,3,300,0.7288888888888889
EGFR,tuna_retrained,all_P,context,3,150,0.7777777777777778
EGFR,tuna_retrained,all_P,background,3,150,0.68
EGFR,tuna_retrained,exclude_development_P,all_U,3,300,0.7288888888888889
EGFR,tuna_retrained,exclude_development_P,context,3,150,0.7777777777777778
EGFR,tuna_retrained,exclude_development_P,background,3,150,0.68
EGFR,tuna_retrained,exclude_development_P_and_homomers,all_U,3,300,0.7288888888888889
EGFR,tuna_retrained,exclude_development_P_and_homomers,context,3,150,0.7777777777777778
EGFR,tuna_retrained,exclude_development_P_and_homomers,background,3,150,0.68
BCL2,ipin_baseline,all_P,all_U,3,300,0.96
BCL2,ipin_baseline,all_P,context,3,150,0.9666666666666667
BCL2,ipin_baseline,all_P,background,3,150,0.9533333333333334
BCL2,ipin_baseline,exclude_development_P,all_U,3,300,0.96
BCL2,ipin_baseline,exclude_development_P,context,3,150,0.9666666666666667
BCL2,ipin_baseline,exclude_development_P,background,3,150,0.9533333333333334
BCL2,ipin_baseline,exclude_development_P_and_homomers,all_U,3,300,0.96
BCL2,ipin_baseline,exclude_development_P_and_homomers,context,3,150,0.9666666666666667
BCL2,ipin_baseline,exclude_development_P_and_homomers,background,3,150,0.9533333333333334
BCL2,ipin_optimized,all_P,all_U,3,300,0.9722222222222222
BCL2,ipin_optimized,all_P,context,3,150,0.9733333333333334
BCL2,ipin_optimized,all_P,background,3,150,0.9711111111111111
BCL2,ipin_optimized,exclude_development_P,all_U,3,300,0.9722222222222222
BCL2,ipin_optimized,exclude_development_P,context,3,150,0.9733333333333334
BCL2,ipin_optimized,exclude_development_P,background,3,150,0.9711111111111111
BCL2,ipin_optimized,exclude_development_P_and_homomers,all_U,3,300,0.9722222222222222
BCL2,ipin_optimized,exclude_development_P_and_homomers,context,3,150,0.9733333333333334
BCL2,ipin_optimized,exclude_development_P_and_homomers,background,3,150,0.9711111111111111
BCL2,tuna_original,all_P,all_U,3,300,0.7577777777777778
BCL2,tuna_original,all_P,context,3,150,0.7844444444444445
BCL2,tuna_original,all_P,background,3,150,0.7311111111111112
BCL2,tuna_original,exclude_development_P,all_U,3,300,0.7577777777777778
BCL2,tuna_original,exclude_development_P,context,3,150,0.7844444444444445
BCL2,tuna_original,exclude_development_P,background,3,150,0.7311111111111112
BCL2,tuna_original,exclude_development_P_and_homomers,all_U,3,300,0.7577777777777778
BCL2,tuna_original,exclude_development_P_and_homomers,context,3,150,0.7844444444444445
BCL2,tuna_original,exclude_development_P_and_homomers,background,3,150,0.7311111111111112
BCL2,tuna_retrained,all_P,all_U,3,300,0.8588888888888889
BCL2,tuna_retrained,all_P,context,3,150,0.8844444444444445
BCL2,tuna_retrained,all_P,background,3,150,0.8333333333333334
BCL2,tuna_retrained,exclude_development_P,all_U,3,300,0.8588888888888889
BCL2,tuna_retrained,exclude_development_P,context,3,150,0.8844444444444445
BCL2,tuna_retrained,exclude_development_P,background,3,150,0.8333333333333334
BCL2,tuna_retrained,exclude_development_P_and_homomers,all_U,3,300,0.8588888888888889
BCL2,tuna_retrained,exclude_development_P_and_homomers,context,3,150,0.8844444444444445
BCL2,tuna_retrained,exclude_development_P_and_homomers,background,3,150,0.8333333333333334
KEAP1,ipin_baseline,all_P,all_U,3,300,0.5766666666666667
KEAP1,ipin_baseline,all_P,context,3,150,0.5177777777777778
KEAP1,ipin_baseline,all_P,background,3,150,0.6355555555555555
KEAP1,ipin_baseline,exclude_development_P,all_U,2,300,0.375
KEAP1,ipin_baseline,exclude_development_P,context,2,150,0.2833333333333333
KEAP1,ipin_baseline,exclude_development_P,background,2,150,0.4666666666666667
KEAP1,ipin_baseline,exclude_development_P_and_homomers,all_U,2,300,0.375
KEAP1,ipin_baseline,exclude_development_P_and_homomers,context,2,150,0.2833333333333333
KEAP1,ipin_baseline,exclude_development_P_and_homomers,background,2,150,0.4666666666666667
KEAP1,ipin_optimized,all_P,all_U,3,300,0.6366666666666667
KEAP1,ipin_optimized,all_P,context,3,150,0.5622222222222222
KEAP1,ipin_optimized,all_P,background,3,150,0.7111111111111111
KEAP1,ipin_optimized,exclude_development_P,all_U,2,300,0.4633333333333333
KEAP1,ipin_optimized,exclude_development_P,context,2,150,0.35333333333333333
KEAP1,ipin_optimized,exclude_development_P,background,2,150,0.5733333333333334
KEAP1,ipin_optimized,exclude_development_P_and_homomers,all_U,2,300,0.4633333333333333
KEAP1,ipin_optimized,exclude_development_P_and_homomers,context,2,150,0.35333333333333333
KEAP1,ipin_optimized,exclude_development_P_and_homomers,background,2,150,0.5733333333333334
KEAP1,tuna_original,all_P,all_U,3,300,0.7055555555555556
KEAP1,tuna_original,all_P,context,3,150,0.6711111111111111
KEAP1,tuna_original,all_P,background,3,150,0.74
KEAP1,tuna_original,exclude_development_P,all_U,2,300,0.5616666666666666
