panel,analysis,model,model_id,condition,dataset,metric,estimate,CI_low,CI_high,source_file,source_key,parameters,encoder,recipe,seed,epoch,stage,selected,baseline_concordance,candidate_concordance
b,optimization,esm2_650m__mlp_small,esm2_650m__mlp_small,mlp,Development C3,concordance,0.794404664450287,,,artifacts/results/model_optimization_v1/RESULTS.json,all_ensemble_groups/2,253635,esm2_650m,mlp_small,,4,2,False,,
b,optimization,esm2_150m__residual_wide,esm2_150m__residual_wide,residual_mlp,Development C3,concordance,0.793844590498948,,,artifacts/results/model_optimization_v1/RESULTS.json,all_ensemble_groups/3,498053,esm2_150m,residual_wide,,8,2,False,,
b,optimization,esm2_150m__mlp_wide,esm2_150m__mlp_wide,mlp,Development C3,concordance,0.791191647011361,,,artifacts/results/model_optimization_v1/RESULTS.json,all_ensemble_groups/4,496131,esm2_150m,mlp_wide,,8,2,False,,
b,optimization,esm2_650m__mlp_small,esm2_650m__mlp_small,mlp,Development C3,concordance,0.787534548335777,,,artifacts/results/model_optimization_v1/RESULTS.json,all_ensemble_groups/5,253635,esm2_650m,mlp_small,,8,2,False,,
b,optimization,esm2_150m__linear_base_lr,esm2_150m__linear_base_lr,linear,Development C3,concordance,0.786004233987396,,,artifacts/results/model_optimization_v1/RESULTS.json,all_ensemble_groups/6,1922,esm2_150m,linear_base_lr,,4,2,False,,
b,optimization,esm2_150m__linear_base_lr,esm2_150m__linear_base_lr,linear,Development C3,concordance,0.784068448336283,,,artifacts/results/model_optimization_v1/RESULTS.json,all_ensemble_groups/7,1922,esm2_150m,linear_base_lr,,8,2,False,,
c,optimization,20260803,20260803,Individual seed,Development C3,paired_point_difference,0.0183263768202588,,,artifacts/results/model_optimization_v1/RESULTS.json,development_gate/matched_seed_gains/0,,,,20260803,,,,0.780285265334318,0.798611642154577
c,optimization,20260817,20260817,Individual seed,Development C3,paired_point_difference,-0.00343656799124903,,,artifacts/results/model_optimization_v1/RESULTS.json,development_gate/matched_seed_gains/1,,,,20260817,,,,0.78485708740903,0.781420519417781
c,optimization,20260831,20260831,Individual seed,Development C3,paired_point_difference,-0.00567727549695241,,,artifacts/results/model_optimization_v1/RESULTS.json,development_gate/matched_seed_gains/2,,,,20260831,,,,0.783082280786703,0.777405005289751
c,optimization,Ensemble,Ensemble,Selected ensemble,Development C3,paired_difference,0.0152767571735127,0.00294239428939361,0.0344597617660634,artifacts/results/model_optimization_v1/RESULTS.json,development_gate,,,,,,,,,
c,followup,Ensemble,Ensemble,Selected ensemble,Protected C3 follow-up,paired_difference,0.0186991147542781,-0.00135834845147574,0.0499997982553397,artifacts/results/model_optimization_followup_v1/FOLLOWUP_TEST_RESULTS.json,cells/C3_test/ensemble_minus_baseline,,,,,,,,,
