panel,analysis,model,model_id,condition,dataset,metric,estimate,CI_low,CI_high,source_file,source_key,positive_pairs,sampled_unlabeled_pairs
C2,original,3-mer cosine,within_pair_3mer_cosine,C2,Original protected test,affine_minus_control,0.343414656871817,0.264307902676357,0.409864726031884,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C2_test/model_minus_controls/within_pair_3mer_cosine,13446,1000000
C3,original,Composition cosine,aac_cosine,C3,Original protected test,affine_minus_control,0.374834732660589,0.20074302522742,0.480336293834302,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/model_minus_controls/aac_cosine,2379,1000000
C3,original,Component degree mass,component_degree_mass_product,C3,Original protected test,affine_minus_control,0.289248765871385,0.2081575143063,0.345726808906891,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/model_minus_controls/component_degree_mass_product,2379,1000000
C3,original,Hash sentinel,deterministic_hash,C3,Original protected test,affine_minus_control,0.298109840267883,0.217281099112744,0.351227575993389,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/model_minus_controls/deterministic_hash,2379,1000000
C3,original,3-mer interolog,exact_training_interolog_3mer,C3,Original protected test,affine_minus_control,0.305211678855785,0.170175510215242,0.400321831151733,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/model_minus_controls/exact_training_interolog_3mer,2379,1000000
C3,original,ESM cosine,pooled_150m_cosine,C3,Original protected test,affine_minus_control,0.295203393862647,0.128844379947129,0.398975451241581,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/model_minus_controls/pooled_150m_cosine,2379,1000000
C3,original,Preferential attachment,preferential_attachment,C3,Original protected test,affine_minus_control,0.289248765871385,0.2081575143063,0.345726808906891,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/model_minus_controls/preferential_attachment,2379,1000000
C3,original,Length ratio,sequence_length_ratio,C3,Original protected test,affine_minus_control,0.23994675745969,0.127540761624264,0.313346218276085,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/model_minus_controls/sequence_length_ratio,2379,1000000
C3,original,Length sum,sequence_length_sum,C3,Original protected test,affine_minus_control,0.462013519966729,0.289445604374381,0.580731558148418,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/model_minus_controls/sequence_length_sum,2379,1000000
C3,original,Common neighbors,training_common_neighbors,C3,Original protected test,affine_minus_control,0.289248765871385,0.2081575143063,0.345726808906891,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/model_minus_controls/training_common_neighbors,2379,1000000
C3,original,Degree sum,training_degree_sum,C3,Original protected test,affine_minus_control,0.289248765871385,0.2081575143063,0.345726808906891,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/model_minus_controls/training_degree_sum,2379,1000000
C3,original,3-mer cosine,within_pair_3mer_cosine,C3,Original protected test,affine_minus_control,0.295279145649477,0.182495107752134,0.37491546662022,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/model_minus_controls/within_pair_3mer_cosine,2379,1000000
