cohort,model,targets,anchors,context_n,background_n,equal_target_A,A_ci95_low,A_ci95_high,rank_biserial,targets_A_above_half,targets_A_below_half,min_target_A,max_target_A,sign_flip_p,sign_flip_p_holm_three_models,mean_top20_U_context_fraction,mean_P_vs_context_concordance,mean_P_vs_background_concordance,mean_A_context_vs_nonmatching_background,mean_unstratified_A,mean_mean_difference,mean_median_difference
all_twelve,ipin_baseline,12,37,1850,1850,0.5821722222222222,0.5533833333333334,0.6103056944444444,0.1643444444444444,12,0,0.5157333333333334,0.6461333333333333,0.00048828125,0.00146484375,0.5958333333333333,0.6451851851851853,0.7206481481481481,0.6071832101735336,0.5813131944444444,0.28057278950247033,0.24950756132602694
all_twelve,ipin_optimized,12,37,1850,1850,0.5822416666666667,0.5459611111111111,0.618675,0.16448333333333331,10,2,0.4930666666666667,0.6866666666666666,0.001953125,0.00390625,0.5583333333333332,0.6986111111111112,0.7475925925925927,0.6048524641935014,0.5842953703703705,0.35801569244893333,0.35475574682156247
all_twelve,tuna_retrained,12,37,1850,1850,0.5795888888888888,0.5191775000000001,0.634611111111111,0.15917777777777764,9,3,0.38453333333333334,0.6902666666666666,0.03076171875,0.03076171875,0.5791666666666667,0.7220717592592593,0.7710300925925927,0.6035979690681877,0.5823222222222222,0.5288094418040574,0.43896069460444975
original_six,ipin_baseline,6,19,950,950,0.5771666666666667,0.5371777777777778,0.6141666666666666,0.15433333333333343,6,0,0.5157333333333334,0.6312,,,0.5916666666666667,0.6066666666666668,0.6749999999999998,0.5977980264011686,0.5765671296296296,0.25539439862335306,0.21654786003960494
original_six,ipin_optimized,6,19,950,950,0.57795,0.5300277777777778,0.6239277777777777,0.15589999999999993,5,1,0.4930666666666667,0.6593333333333332,,,0.575,0.6512962962962964,0.7092592592592593,0.5851269799527902,0.5786055555555556,0.32689863236000133,0.2731606885790825
original_six,tuna_retrained,6,19,950,950,0.5738,0.4784888888888889,0.6592666666666666,0.14759999999999995,4,2,0.38453333333333334,0.6888,,,0.5583333333333332,0.7167361111111111,0.7694675925925926,0.58640710607629,0.5762222222222222,0.4728363998537814,0.4065076576338873
additional_six,ipin_baseline,6,18,900,900,0.5871777777777777,0.5466666666666667,0.626311111111111,0.17435555555555537,6,0,0.5196,0.6461333333333333,,,0.6,0.6837037037037037,0.7662962962962964,0.6165683939458985,0.5860592592592592,0.3057511803815876,0.28246726261244887
additional_six,ipin_optimized,6,18,900,900,0.5865333333333332,0.5314888888888889,0.6415777777777778,0.17306666666666648,5,1,0.4944,0.6866666666666666,,,0.5416666666666666,0.745925925925926,0.7859259259259259,0.6245779484342127,0.5899851851851853,0.3891327525378654,0.4363508050640424
additional_six,tuna_retrained,6,18,900,900,0.5853777777777777,0.5110222222222222,0.6526,0.17075555555555533,5,1,0.4330666666666667,0.6902666666666666,,,0.6,0.7274074074074074,0.7725925925925926,0.6207888320600856,0.5884222222222222,0.5847824837543335,0.4714137315750122
