target,model,candidate_set,K,P,panel_size,recovered_P,recall,target_success
ERN1,ipin_baseline,background,34,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,35,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,36,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,37,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,38,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,39,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,40,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,41,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,42,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,43,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,44,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,45,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,46,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,47,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,48,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,49,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,50,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,1,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,low_plausibility,2,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,low_plausibility,3,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,low_plausibility,4,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,low_plausibility,5,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,6,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,7,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,8,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,9,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,10,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,11,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,12,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,13,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,14,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,15,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,16,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,17,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,18,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,19,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,20,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,21,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,22,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,23,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,24,4,204,1.0,0.25,1.0
