model,previous_100U_concordance,added_50U_concordance,all_150U_concordance,concordance_change,MAP_change,recovered_P_at_10_change,NDCG_at_10_change
ipin_baseline,0.6829166666666667,0.8095023148148147,0.7251118827160493,0.04219521604938259,-0.009418432584815228,0.0,-0.003974273804882265
ipin_optimized,0.7231018518518518,0.8170254629629631,0.7544097222222222,0.031307870370370416,-0.00497107085214496,0.0,-0.0016346071149512809
tuna_retrained,0.7465509259259259,0.8478125,0.7803047839506173,0.03375385802469144,-0.007094107962239013,0.0,-0.0031789179948509827
tuna_original,0.7676041666666666,0.8774537037037038,0.8042206790123457,0.036616512345679086,-0.006702418023728174,0.0,0.0
