cohort,model,positive_subset,candidate_set,planned_targets,targets,omitted_targets,P,U,macro_P_vs_U_concordance,MAP,MRR,mean_first_positive_rank,total_recovered_P_at_5,target_success_count_at_5,macro_recall_at_5,macro_known_positive_precision_at_5,macro_EF_at_5,macro_NDCG_at_5,macro_target_success_at_5,total_recovered_P_at_10,target_success_count_at_10,macro_recall_at_10,macro_known_positive_precision_at_10,macro_EF_at_10,macro_NDCG_at_10,macro_target_success_at_10,total_recovered_P_at_20,target_success_count_at_20,macro_recall_at_20,macro_known_positive_precision_at_20,macro_EF_at_20,macro_NDCG_at_20,macro_target_success_at_20
all_twelve,ipin_baseline,all_P,context,12,12,,37,1850,0.6451851851851853,0.1081447143494923,0.20623860981003836,17.25,4.0,4.0,0.1111111111111111,0.06666666666666667,3.4000000000000004,0.09776640125474094,0.3333333333333333,7.0,6.0,0.19444444444444442,0.05833333333333333,2.975,0.13387850027972947,0.5,12.0,9.0,0.3263888888888889,0.049999999999999996,2.5500000000000003,0.18228278809194795,0.75
all_twelve,ipin_optimized,all_P,context,12,12,,37,1850,0.6986111111111112,0.17761173358022572,0.3435007742934572,15.75,7.0,5.0,0.19444444444444442,0.11666666666666665,5.95,0.1812612046786725,0.4166666666666667,13.0,9.0,0.3541666666666667,0.10833333333333334,5.5249999999999995,0.2546672264142548,0.75,14.0,9.0,0.3819444444444445,0.05833333333333334,2.975,0.2652353111502876,0.75
all_twelve,tuna_retrained,all_P,context,12,12,,37,1850,0.7220717592592593,0.16574592817616338,0.3501987777058446,11.75,8.0,7.0,0.21527777777777776,0.13333333333333333,6.800000000000001,0.19152859388449692,0.5833333333333334,9.0,8.0,0.24305555555555555,0.075,3.8250000000000006,0.203300841622816,0.6666666666666666,14.0,10.0,0.3819444444444445,0.05833333333333334,2.975,0.2529850982357522,0.8333333333333334
all_twelve,tuna_original,all_P,context,12,12,,37,1850,0.7286805555555556,0.2527856605006587,0.42261303511303505,13.25,9.0,6.0,0.24305555555555555,0.15,7.650000000000001,0.2524361755003813,0.5,13.0,8.0,0.3541666666666667,0.10833333333333334,5.5249999999999995,0.3049697439085704,0.6666666666666666,16.0,9.0,0.4375,0.06666666666666667,3.4000000000000004,0.3338044281089682,0.75
all_twelve,ipin_baseline,all_P,background,12,12,,37,1850,0.7206481481481481,0.10715044692087004,0.18444669130153,12.416666666666666,4.0,4.0,0.1111111111111111,0.06666666666666667,3.4000000000000004,0.08402874812337179,0.3333333333333333,9.0,7.0,0.24305555555555555,0.075,3.8250000000000006,0.14566252212063502,0.5833333333333334,12.0,9.0,0.3263888888888889,0.049999999999999996,2.5500000000000003,0.1759589000174447,0.75
all_twelve,ipin_optimized,all_P,background,12,12,,37,1850,0.7475925925925927,0.15826675710119403,0.2665369239939162,15.083333333333334,6.0,6.0,0.16666666666666666,0.09999999999999999,5.1000000000000005,0.13997758750031378,0.5,13.0,9.0,0.3541666666666667,0.10833333333333334,5.5249999999999995,0.22584866011484336,0.75,16.0,9.0,0.4375,0.06666666666666668,3.4,0.2559938240612153,0.75
all_twelve,tuna_retrained,all_P,background,12,12,,37,1850,0.7710300925925927,0.17493568215856856,0.30818833943833945,8.666666666666666,6.0,5.0,0.1597222222222222,0.10000000000000002,5.1000000000000005,0.1522605632920023,0.4166666666666667,10.0,9.0,0.2708333333333333,0.08333333333333333,4.250000000000001,0.20549290557724584,0.75,20.0,11.0,0.548611111111111,0.08333333333333336,4.249999999999999,0.30302034551373275,0.9166666666666666
all_twelve,tuna_original,all_P,background,12,12,,37,1850,0.8065277777777778,0.2564991002591574,0.4429241263122842,10.25,10.0,6.0,0.2708333333333333,0.16666666666666666,8.500000000000002,0.26756465821182734,0.5,12.0,8.0,0.3263888888888889,0.09999999999999999,5.1000000000000005,0.29363569854642485,0.6666666666666666,18.0,10.0,0.4930555555555555,0.075,3.8249999999999997,0.3538289991076062,0.8333333333333334
all_twelve,ipin_baseline,all_P,low_plausibility,12,12,,37,1850,0.8095023148148147,0.24805413963176584,0.49152167277167275,7.0,9.0,8.0,0.24305555555555555,0.15,7.650000000000001,0.25746475585610984,0.6666666666666666,12.0,10.0,0.3263888888888889,0.09999999999999999,5.1000000000000005,0.2958725424809518,0.8333333333333334,20.0,11.0,0.548611111111111,0.08333333333333336,4.25,0.37623157797912277,0.9166666666666666
all_twelve,ipin_optimized,all_P,low_plausibility,12,12,,37,1850,0.8170254629629631,0.3972464231377814,0.6103174603174603,8.833333333333334,16.0,9.0,0.4375,0.2666666666666667,13.6,0.43654890385831996,0.75,18.0,9.0,0.4930555555555556,0.15,7.6499999999999995,0.46225118951048927,0.75,21.0,10.0,0.576388888888889,0.08750000000000001,4.4625,0.49239635345686117,0.8333333333333334
all_twelve,tuna_retrained,all_P,low_plausibility,12,12,,37,1850,0.8478125,0.36879412910536463,0.5916666666666667,6.083333333333333,14.0,9.0,0.3819444444444444,0.2333333333333333,11.9,0.38340269783109254,0.75,19.0,11.0,0.5208333333333333,0.15833333333333335,8.075,0.44704485348915535,0.9166666666666666,25.0,11.0,0.6736111111111112,0.10416666666666667,5.3125,0.5020383892952096,0.9166666666666666
all_twelve,tuna_original,all_P,low_plausibility,12,12,,37,1850,0.8774537037037038,0.4748231882259489,0.6664631664631665,3.6666666666666665,17.0,8.0,0.4583333333333334,0.2833333333333333,14.450000000000001,0.4756264468574784,0.6666666666666666,24.0,11.0,0.638888888888889,0.20000000000000004,10.200000000000001,0.5579643564141507,0.9166666666666666,26.0,12.0,0.6944444444444443,0.10833333333333335,5.5249999999999995,0.5771390767020268,1.0
