target,model,group,n,mean,sd,q25,median,q75,min,max
ERN1,tuna_original,P,4,0.7022874653339386,0.10545010599029508,0.6347577720880508,0.6622793674468994,0.7298090606927872,0.6290624141693115,0.855528712272644
ERN1,tuna_original,context,200,0.6428342543542385,0.11463417361713536,0.5887109935283661,0.6636776626110077,0.7178904265165329,0.21194173395633698,0.8458292484283447
ERN1,tuna_original,background,200,0.48971740938723085,0.17477798376028045,0.33819153159856796,0.509280651807785,0.628959521651268,0.13876022398471832,0.8315712213516235
ERN1,tuna_original,low_plausibility,200,0.3026636614277959,0.13792926356087734,0.18944409862160683,0.2864692956209183,0.37742213159799576,0.08444896340370178,0.7344765067100525
TP53,ipin_baseline,P,3,-1.6608545713954503,0.4872559523145372,-1.9323352177937827,-1.8046123186747234,-1.4612527986367545,-2.060058116912842,-1.1178932785987854
TP53,ipin_baseline,context,150,-1.5260765737709072,0.7472278959436693,-2.000596741835276,-1.5542518695195515,-1.0714506606260936,-3.9017813205718994,0.4800237814585368
TP53,ipin_baseline,background,150,-1.988306169178751,1.0811439016072222,-2.5912047028541565,-1.9103891253471375,-1.2071378926436107,-5.186248143513997,0.49273866415023804
TP53,ipin_baseline,low_plausibility,150,-2.333552571075658,0.8364941744192069,-2.8025365670522056,-2.317735195159912,-1.8379309376080832,-4.89918835957845,-0.008594453955690065
TP53,ipin_optimized,P,3,-1.3473688231574164,0.44957956075326966,-1.5895450015862782,-1.4277615745862324,-1.1453890204429626,-1.751328428586324,-0.8630164662996928
TP53,ipin_optimized,context,150,-1.0205630827446779,0.9992391546127326,-1.7199956079324086,-1.2309759159882865,-0.31714170922835666,-3.1849709351857505,1.6020015478134155
TP53,ipin_optimized,background,150,-1.5963851497901809,1.320087113522899,-2.442881027857463,-1.6515149374802909,-0.6330987637241682,-5.274107615152995,1.5765424966812134
TP53,ipin_optimized,low_plausibility,150,-1.7718481676446065,1.2275211942281137,-2.7034900983174643,-1.8017941216627755,-1.016282856464386,-5.015977223714192,1.4765551090240479
TP53,tuna_retrained,P,3,-6.323755635155571,0.5041020604900732,-6.5780071417490635,-6.332675933837891,-6.073964277903238,-6.823338349660237,-5.815252621968587
TP53,tuna_retrained,context,150,-7.363926977581449,1.4134767517510822,-8.403077483177185,-7.306997696558635,-6.425872762997945,-11.241583506266275,-3.217266400655111
TP53,tuna_retrained,background,150,-8.694056442313725,2.2165247008181943,-9.786060651143393,-8.27349305152893,-7.181478778521219,-15.18792470296224,-4.355785648028056
TP53,tuna_retrained,low_plausibility,150,-9.521422816647425,1.6014081176633002,-10.489442904790241,-9.618916829427082,-8.547995328903198,-13.567082405090332,-5.318490346272786
TP53,tuna_original,P,3,0.6034949024518331,0.048451813866757544,0.5840047299861908,0.6187607049942017,0.6306179761886597,0.5492487549781799,0.6424752473831177
TP53,tuna_original,context,150,0.5175342777371407,0.09886553015057171,0.4486813023686409,0.5251889526844025,0.5885842144489288,0.20692113041877747,0.7464011907577515
TP53,tuna_original,background,150,0.43982891788085304,0.12205525727919188,0.356540784239769,0.43593253195285797,0.5306797623634338,0.13438062369823456,0.6809326410293579
TP53,tuna_original,low_plausibility,150,0.396905114253362,0.09028762403687024,0.3278905376791954,0.40075546503067017,0.4595107138156891,0.17078231275081635,0.6121174693107605
EGFR,ipin_baseline,P,3,-1.859911627239651,0.42711588959800334,-1.9923014640808105,-1.6319588820139568,-1.6135454177856445,-2.3526440461476645,-1.5951319535573323
EGFR,ipin_baseline,context,150,-2.0620234573384124,0.8280183236199571,-2.565323452154795,-2.102021912733714,-1.6189379195372264,-4.260087013244629,1.3199427127838135
EGFR,ipin_baseline,background,150,-2.1701748647209667,0.876971280007135,-2.696657180786133,-2.086156924565633,-1.6952723463376362,-4.35558557510376,2.847214619318644
