panel,analysis,model,model_id,condition,dataset,metric,estimate,CI_low,CI_high,source_file,source_key,cell,positive_pairs,sampled_unlabeled_pairs,interval_source_key
,development,Common neighbors,training_common_neighbors,C2,Development,concordance,0.499999999991513,0.49999999999999,0.500000000000001,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C2_development/metrics/training_common_neighbors,C2_development,11327,1000000,cells/C2_development/bootstrap_percentile_95_for_controls_and_ensembles/training_common_neighbors
,development,Degree sum,training_degree_sum,C2,Development,concordance,0.839263281307361,0.822792709771239,0.853079488861907,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C2_development/metrics/training_degree_sum,C2_development,11327,1000000,cells/C2_development/bootstrap_percentile_95_for_controls_and_ensembles/training_degree_sum
,development,3-mer cosine,within_pair_3mer_cosine,C2,Development,concordance,0.548959924414294,0.493610287289673,0.590925219103257,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C2_development/metrics/within_pair_3mer_cosine,C2_development,11327,1000000,cells/C2_development/bootstrap_percentile_95_for_controls_and_ensembles/within_pair_3mer_cosine
,development,Component degree mass,component_degree_mass_product,C3,Development,concordance,0.499999999990824,0.499999999999991,0.500000000000011,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/component_degree_mass_product,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/component_degree_mass_product
,development,Hash sentinel,deterministic_hash,C3,Development,concordance,0.494232542603626,0.473022409436061,0.52197830185434,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/deterministic_hash,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/deterministic_hash
,development,3-mer interolog,exact_training_interolog_3mer,C3,Development,concordance,0.635701358715407,0.52574934264821,0.754754284382531,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/exact_training_interolog_3mer,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/exact_training_interolog_3mer
,development,iPIN affine,lightweight_esm2_150m_linear__linear_lr3e-4,C3,Development,concordance,0.784142246349548,0.742820138368981,0.852716268998339,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/lightweight_esm2_150m_linear__linear_lr3e-4,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/lightweight_esm2_150m_linear__linear_lr3e-4
,development,Preferential attachment,preferential_attachment,C3,Development,concordance,0.499999999990824,0.499999999999991,0.500000000000011,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/preferential_attachment,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/preferential_attachment
,development,Length ratio,sequence_length_ratio,C3,Development,concordance,0.660880051210251,0.566995109386383,0.742349922980613,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/sequence_length_ratio,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/sequence_length_ratio
,development,Length sum,sequence_length_sum,C3,Development,concordance,0.520453676380442,0.418265025838929,0.577579047494639,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/sequence_length_sum,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/sequence_length_sum
,development,Common neighbors,training_common_neighbors,C3,Development,concordance,0.499999999990824,0.499999999999991,0.500000000000011,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/training_common_neighbors,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/training_common_neighbors
,development,Degree sum,training_degree_sum,C3,Development,concordance,0.499999999990824,0.499999999999991,0.500000000000011,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/training_degree_sum,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/training_degree_sum
,development,3-mer cosine,within_pair_3mer_cosine,C3,Development,concordance,0.644682637522745,0.498093897064776,0.726462585107981,artifacts/results/development_evaluation/development_embedding_identity_correction_v2/PRIMARY_METRICS.json,cells/C3_development/metrics/within_pair_3mer_cosine,C3_development,2265,1000000,cells/C3_development/bootstrap_percentile_95_for_controls_and_ensembles/within_pair_3mer_cosine
,original,Composition cosine,aac_cosine,C1,Original protected test,concordance,0.519440364687982,0.489430351659264,0.558734916280976,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C1_test/metrics/aac_cosine,C1_test,3187,1000000,cells/C1_test/metrics/aac_cosine/percentile_95
,original,Component degree mass,component_degree_mass_product,C1,Original protected test,concordance,0.688950129110269,0.63275822012886,0.825238013012928,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C1_test/metrics/component_degree_mass_product,C1_test,3187,1000000,cells/C1_test/metrics/component_degree_mass_product/percentile_95
,original,Hash sentinel,deterministic_hash,C1,Original protected test,concordance,0.507123435680184,0.488327880727085,0.523419998768906,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C1_test/metrics/deterministic_hash,C1_test,3187,1000000,cells/C1_test/metrics/deterministic_hash/percentile_95
,original,3-mer interolog,exact_training_interolog_3mer,C1,Original protected test,concordance,0.63311381990078,0.590196515453631,0.667038003384847,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C1_test/metrics/exact_training_interolog_3mer,C1_test,3187,1000000,cells/C1_test/metrics/exact_training_interolog_3mer/percentile_95
,original,iPIN affine,lightweight_esm2_150m_linear__linear_lr3e-4,C1,Original protected test,concordance,0.843493319010201,0.827234492066085,0.859987300564138,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C1_test/metrics/lightweight_esm2_150m_linear__linear_lr3e-4,C1_test,3187,1000000,cells/C1_test/metrics/lightweight_esm2_150m_linear__linear_lr3e-4/percentile_95
,original,ESM cosine,pooled_150m_cosine,C1,Original protected test,concordance,0.528220820371664,0.50184874599851,0.561407661518946,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C1_test/metrics/pooled_150m_cosine,C1_test,3187,1000000,cells/C1_test/metrics/pooled_150m_cosine/percentile_95
,original,Preferential attachment,preferential_attachment,C1,Original protected test,concordance,0.912830787431592,0.900392368648007,0.92270628031474,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C1_test/metrics/preferential_attachment,C1_test,3187,1000000,cells/C1_test/metrics/preferential_attachment/percentile_95
,original,Length ratio,sequence_length_ratio,C1,Original protected test,concordance,0.548284664257011,0.524799397671578,0.575844848439594,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C1_test/metrics/sequence_length_ratio,C1_test,3187,1000000,cells/C1_test/metrics/sequence_length_ratio/percentile_95
,original,Length sum,sequence_length_sum,C1,Original protected test,concordance,0.475893359583362,0.438684614212387,0.516468699068159,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C1_test/metrics/sequence_length_sum,C1_test,3187,1000000,cells/C1_test/metrics/sequence_length_sum/percentile_95
,original,Common neighbors,training_common_neighbors,C1,Original protected test,concordance,0.69234233448942,0.671878219229893,0.713047386692283,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C1_test/metrics/training_common_neighbors,C1_test,3187,1000000,cells/C1_test/metrics/training_common_neighbors/percentile_95
,original,Degree sum,training_degree_sum,C1,Original protected test,concordance,0.912124580367329,0.899397261881784,0.922153090939757,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C1_test/metrics/training_degree_sum,C1_test,3187,1000000,cells/C1_test/metrics/training_degree_sum/percentile_95
,original,3-mer cosine,within_pair_3mer_cosine,C1,Original protected test,concordance,0.524181427956063,0.4947568177665,0.560718036728551,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C1_test/metrics/within_pair_3mer_cosine,C1_test,3187,1000000,cells/C1_test/metrics/within_pair_3mer_cosine/percentile_95
,original,Composition cosine,aac_cosine,C2,Original protected test,concordance,0.429282116129806,0.34704045324046,0.519555168844468,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C2_test/metrics/aac_cosine,C2_test,13446,1000000,cells/C2_test/metrics/aac_cosine/percentile_95
,original,Component degree mass,component_degree_mass_product,C2,Original protected test,concordance,0.5,0.49999999999999,0.500000000000011,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C2_test/metrics/component_degree_mass_product,C2_test,13446,1000000,cells/C2_test/metrics/component_degree_mass_product/percentile_95
,original,Hash sentinel,deterministic_hash,C2,Original protected test,concordance,0.49886768554878,0.489441049389966,0.508244809357186,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C2_test/metrics/deterministic_hash,C2_test,13446,1000000,cells/C2_test/metrics/deterministic_hash/percentile_95
,original,3-mer interolog,exact_training_interolog_3mer,C2,Original protected test,concordance,0.535911678218385,0.495735943406882,0.58577084553411,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C2_test/metrics/exact_training_interolog_3mer,C2_test,13446,1000000,cells/C2_test/metrics/exact_training_interolog_3mer/percentile_95
,original,iPIN affine,lightweight_esm2_150m_linear__linear_lr3e-4,C2,Original protected test,concordance,0.805299055863648,0.774433684109367,0.835510701633455,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C2_test/metrics/lightweight_esm2_150m_linear__linear_lr3e-4,C2_test,13446,1000000,cells/C2_test/metrics/lightweight_esm2_150m_linear__linear_lr3e-4/percentile_95
,original,ESM cosine,pooled_150m_cosine,C2,Original protected test,concordance,0.476032826996106,0.393839923680111,0.563937283904092,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C2_test/metrics/pooled_150m_cosine,C2_test,13446,1000000,cells/C2_test/metrics/pooled_150m_cosine/percentile_95
,original,Preferential attachment,preferential_attachment,C2,Original protected test,concordance,0.5,0.49999999999999,0.500000000000011,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C2_test/metrics/preferential_attachment,C2_test,13446,1000000,cells/C2_test/metrics/preferential_attachment/percentile_95
,original,Length ratio,sequence_length_ratio,C2,Original protected test,concordance,0.535253062143355,0.500199576374371,0.571594605235137,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C2_test/metrics/sequence_length_ratio,C2_test,13446,1000000,cells/C2_test/metrics/sequence_length_ratio/percentile_95
,original,Length sum,sequence_length_sum,C2,Original protected test,concordance,0.403568811296611,0.341500653872808,0.470347587528803,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C2_test/metrics/sequence_length_sum,C2_test,13446,1000000,cells/C2_test/metrics/sequence_length_sum/percentile_95
,original,Common neighbors,training_common_neighbors,C2,Original protected test,concordance,0.5,0.49999999999999,0.500000000000011,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C2_test/metrics/training_common_neighbors,C2_test,13446,1000000,cells/C2_test/metrics/training_common_neighbors/percentile_95
,original,Degree sum,training_degree_sum,C2,Original protected test,concordance,0.810652047852529,0.791106263947274,0.827046688624492,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C2_test/metrics/training_degree_sum,C2_test,13446,1000000,cells/C2_test/metrics/training_degree_sum/percentile_95
,original,3-mer cosine,within_pair_3mer_cosine,C2,Original protected test,concordance,0.461884398991831,0.406555166881545,0.52350654408477,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C2_test/metrics/within_pair_3mer_cosine,C2_test,13446,1000000,cells/C2_test/metrics/within_pair_3mer_cosine/percentile_95
,original,Composition cosine,aac_cosine,C3,Original protected test,concordance,0.414414033210797,0.346767653018036,0.529060894173444,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/aac_cosine,C3_test,2379,1000000,cells/C3_test/metrics/aac_cosine/percentile_95
,original,Component degree mass,component_degree_mass_product,C3,Original protected test,concordance,0.5,0.499999999999998,0.500000000000002,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/component_degree_mass_product,C3_test,2379,1000000,cells/C3_test/metrics/component_degree_mass_product/percentile_95
,original,Hash sentinel,deterministic_hash,C3,Original protected test,concordance,0.491138925603502,0.472374437151432,0.510308718126541,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/deterministic_hash,C3_test,2379,1000000,cells/C3_test/metrics/deterministic_hash/percentile_95
,original,3-mer interolog,exact_training_interolog_3mer,C3,Original protected test,concordance,0.4840370870156,0.425705847375941,0.574571322680515,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/exact_training_interolog_3mer,C3_test,2379,1000000,cells/C3_test/metrics/exact_training_interolog_3mer/percentile_95
