checkpoint,checkpoint_sha256,concordance,epoch,parameters,prediction_sha256,predictions,recipe_id,run_id,seed,stage,swap_max_abs_error,name,family,width,dropout,lr,weight_decay
stage1__esm2_650m__linear_base_lr__seed20260803/epoch_03.npz,819b2d340a8b6b7fc4024fc8fbdf6152732e62f71c13b159bd563d349699e3e7,0.782718077033768,3,3842,2be9b43c0d00684166394108dfa2deb67f6fb59ffe0ecebdb50463c7e3e6b59c,stage1__esm2_650m__linear_base_lr__seed20260803/epoch_03_development.npy,esm2_650m__linear_base_lr,stage1__esm2_650m__linear_base_lr__seed20260803,20260803,1,0,linear_base_lr,linear,0,0,0.0003,0.01
stage1__esm2_650m__linear_fast__seed20260803/epoch_03.npz,dda4a3b7e7e49a295cad27a7c7f955edbde1d0ce9f9bd7beea0fb0d42ce915a0,0.779094693590101,3,3842,5f15194d7868975628912b4db84d9a6c24f20ac6650fa242de10dd20f061a858,stage1__esm2_650m__linear_fast__seed20260803/epoch_03_development.npy,esm2_650m__linear_fast,stage1__esm2_650m__linear_fast__seed20260803,20260803,1,0,linear_fast,linear,0,0,0.001,0.01
stage1__esm2_650m__linear_regularized__seed20260803/epoch_03.npz,52a30c2405a2d18a96777ba1eb830956f4cd4aca2e59702a9cee6e57b8f36b2e,0.77917831787266,3,3842,2d9c236c95e11ae60626a5d18ca0955733f3cd3b665fa28e06226d1c6dc7ae63,stage1__esm2_650m__linear_regularized__seed20260803/epoch_03_development.npy,esm2_650m__linear_regularized,stage1__esm2_650m__linear_regularized__seed20260803,20260803,1,0,linear_regularized,linear,0,0,0.001,0.1
stage1__esm2_650m__mlp_small__seed20260803/epoch_03.npz,0aad46615a12c23d1c0f4f8936a1c898f2684507f58fa1dc9a90803879c85941,0.791346580344693,3,253635,fcd46d3156204ede5c356b121ec6f8786539f8d626eb5f713dc34ccb670b64c4,stage1__esm2_650m__mlp_small__seed20260803/epoch_03_development.npy,esm2_650m__mlp_small,stage1__esm2_650m__mlp_small__seed20260803,20260803,1,0,mlp_small,mlp,64,0.1,0.0003,0.01
stage1__esm2_650m__mlp_wide__seed20260803/epoch_03.npz,d8e1f9d8b6e873db7f10592f1189f72170d896bb1b795a8980668691f7ae1293,0.779215956724568,3,991491,1ad862483482f8f4718f997508f31c562745bdcd9e9681f84f8deddfefe656dd,stage1__esm2_650m__mlp_wide__seed20260803/epoch_03_development.npy,esm2_650m__mlp_wide,stage1__esm2_650m__mlp_wide__seed20260803,20260803,1,0,mlp_wide,mlp,256,0.3,0.0001,0.01
stage1__esm2_650m__mlp_fast__seed20260803/epoch_03.npz,25a4a3a4031f900b8677ac1ed132df98210665c7fcb9cdef7f7830f0efb1654c,0.734733356063692,3,499587,3457938cfc2d29fa64b17381272c8d2907637e2ce2a7c3b828774bbbcaf6f33e,stage1__esm2_650m__mlp_fast__seed20260803/epoch_03_development.npy,esm2_650m__mlp_fast,stage1__esm2_650m__mlp_fast__seed20260803,20260803,1,0,mlp_fast,mlp,128,0.1,0.001,0.1
stage1__esm2_650m__residual_small__seed20260803/epoch_03.npz,96eaa21a9f8aea2c304803cb66fcb76aa71f6fa3e94ac96b317bcec1824a487d,0.763949013457874,3,257477,ddb2b2bad032f37d8458d21a9466793be98b56baec2282d5bda4a3f6d020f52b,stage1__esm2_650m__residual_small__seed20260803/epoch_03_development.npy,esm2_650m__residual_small,stage1__esm2_650m__residual_small__seed20260803,20260803,1,0,residual_small,residual_mlp,64,0.1,0.0003,0.01
stage1__esm2_650m__residual_wide__seed20260803/epoch_03.npz,b34e58083cc91c3bb9cb9f1c93904e339c1e0a000316e4cd57accc054effd883,0.781031646349023,3,995333,bcb272b67fd42648cf926b332daa9031510bfcebd841deeaf6f43bdcca74dbfe,stage1__esm2_650m__residual_wide__seed20260803/epoch_03_development.npy,esm2_650m__residual_wide,stage1__esm2_650m__residual_wide__seed20260803,20260803,1,0,residual_wide,residual_mlp,256,0.3,0.0001,0.01
stage1__esm2_650m__residual_fast__seed20260803/epoch_03.npz,960feecd80cb44bd3fbc0731d384766298a1beb8a47efe80d6797161af9a01e0,0.753786870191224,3,503429,c3b01ceaac481fe668e1fd61809e0104918d4448a71d826b45e14ab683552f44,stage1__esm2_650m__residual_fast__seed20260803/epoch_03_development.npy,esm2_650m__residual_fast,stage1__esm2_650m__residual_fast__seed20260803,20260803,1,0,residual_fast,residual_mlp,128,0.1,0.001,0.1
stage1__esm2_650m__bilinear_small__seed20260803/epoch_03.npz,24f6359c4fb2e136a7e90b591e9ee4781e66ae411dc0e290e6c1a617b6b16dbe,0.7617376732818,3,44834,cbeec06c8ee31e18bc7fbe43511cf682c79850544f35cb4a9ae1a5a49960c47a,stage1__esm2_650m__bilinear_small__seed20260803/epoch_03_development.npy,esm2_650m__bilinear_small,stage1__esm2_650m__bilinear_small__seed20260803,20260803,1,0,bilinear_small,bilinear,32,0,0.0003,0.01
stage1__esm2_650m__bilinear_wide__seed20260803/epoch_03.npz,e5e38e248df0e1b65b2181403bbf2b8e4a841cb7445ee1090fa09e9f9b885b5d,0.743030332001273,3,167810,9e54181b73736bb88a1235a05dadb11fae6939ae31f67db59fb6a5868bc890b1,stage1__esm2_650m__bilinear_wide__seed20260803/epoch_03_development.npy,esm2_650m__bilinear_wide,stage1__esm2_650m__bilinear_wide__seed20260803,20260803,1,0,bilinear_wide,bilinear,128,0,0.001,0.1
stage2__esm2_150m__residual_wide__seed20260803/epoch_04.npz,f46452e84cb30df1c785a6af982f83d37ba892855b5af0a848aac4610890cabc,0.798611642154577,4,498053,186c00c0e509b8f4da076f8d054929f11b23abc783912b25590904d85e69860b,stage2__esm2_150m__residual_wide__seed20260803/epoch_04_development.npy,esm2_150m__residual_wide,stage2__esm2_150m__residual_wide__seed20260803,20260803,2,0,residual_wide,residual_mlp,256,0.3,0.0001,0.01
stage2__esm2_150m__residual_wide__seed20260803/epoch_08.npz,06fd3dde3cbaf12067d73e10cc6095c2bb00e9f122099808decd9af556d0507c,0.796378745245183,8,498053,389e2ba416b640c42173c96a0528e41542bae1f4ee0cc428053be2294cec5b16,stage2__esm2_150m__residual_wide__seed20260803/epoch_08_development.npy,esm2_150m__residual_wide,stage2__esm2_150m__residual_wide__seed20260803,20260803,2,0,residual_wide,residual_mlp,256,0.3,0.0001,0.01
stage2__esm2_150m__residual_wide__seed20260817/epoch_04.npz,08a67b0309a2d3d2928c9f188f73180a4e917f457a087ea1206c85bbae828463,0.781420519417781,4,498053,5b4c19f892ee3f3d8e718ec146b35066467b9cd9caefa1b1191fcceeae5f0417,stage2__esm2_150m__residual_wide__seed20260817/epoch_04_development.npy,esm2_150m__residual_wide,stage2__esm2_150m__residual_wide__seed20260817,20260817,2,0,residual_wide,residual_mlp,256,0.3,0.0001,0.01
stage2__esm2_150m__residual_wide__seed20260817/epoch_08.npz,4fd0a4b8a04addf6c14c123809d0393337f1ab614998608623f1976cf9e7aac3,0.772098464230443,8,498053,d254443bde49564e3f12dfd59919f6f35ba4b4000587ae5ab7f347e1a605468e,stage2__esm2_150m__residual_wide__seed20260817/epoch_08_development.npy,esm2_150m__residual_wide,stage2__esm2_150m__residual_wide__seed20260817,20260817,2,0,residual_wide,residual_mlp,256,0.3,0.0001,0.01
