panel,model,PU_concordance,ci95_low,ci95_high
C1:test_1,selected,0.9006148735846673,0.8891555718504744,0.913024337618089
C1:test_1,fresh_control,0.9241112146023318,0.9142954609815058,0.9333206135764122
C1:test_1,ipin_tuna_frozen,0.948619522993367,0.9402499892839914,0.9555722857874743
C1:test_1,ipin_optimized,0.9160374955199486,0.9049006039135191,0.9264268446613705
C1:test_1,ipin_original,0.8434933160299105,0.8272344809870216,0.8599872765396404
C1:test_1_reconciled,selected,0.8986387073289687,0.8876976259430228,0.9099391144621326
C1:test_1_reconciled,fresh_control,0.8930082258392859,0.8781384739873753,0.9077474505903297
C1:test_1_reconciled,ipin_tuna_frozen,0.9159545134225281,0.9023184014995447,0.9282457849167434
C1:test_1_reconciled,ipin_optimized,0.8860954096937038,0.8717185718960163,0.9009706635551697
C1:test_1_reconciled,ipin_original,0.8172263934528811,0.8001879488503735,0.8361637551490055
C1:test_added,selected,0.8751912124031008,0.8470849694156981,0.9020689732972454
C1:test_added,fresh_control,0.7121281302325582,0.6687227216440744,0.7572607364405033
C1:test_added,ipin_tuna_frozen,0.7264557426356589,0.6809313491122476,0.774875438131164
C1:test_added,ipin_optimized,0.7013731751937985,0.6538583378281254,0.7558691677520577
C1:test_added,ipin_original,0.6714183224806202,0.6288026959061995,0.7218779558631071
C1:test_2_macro,selected,0.8869149598660347,0.8718876220991876,0.9013767076968026
C1:test_2_macro,fresh_control,0.802568178035922,0.7765000334357605,0.8274580929477249
C1:test_2_macro,ipin_tuna_frozen,0.8212051280290935,0.7964587061902277,0.8455052199565324
C1:test_2_macro,ipin_optimized,0.7937342924437512,0.7678264616807415,0.8218509639009317
C1:test_2_macro,ipin_original,0.7443223579667506,0.7200774475864422,0.773049618513908
C1:test_2_macro_no_dev_overlap,selected,0.8872316299400995,0.8709583777838318,0.902123246081422
C1:test_2_macro_no_dev_overlap,fresh_control,0.8044476656324715,0.779615591346044,0.8315050750051503
C1:test_2_macro_no_dev_overlap,ipin_tuna_frozen,0.8230933189872043,0.7973024503437185,0.8503061372371442
C1:test_2_macro_no_dev_overlap,ipin_optimized,0.7953029181782907,0.7682432849112499,0.8257265412487673
C1:test_2_macro_no_dev_overlap,ipin_original,0.7455856646019339,0.7195191416041913,0.7762352194852997
C2:test_1,selected,0.8606168430956675,0.8354950341258575,0.8828569379171199
C2:test_1,fresh_control,0.8854171602835885,0.8655148107387702,0.9014124297400514
C2:test_1,ipin_tuna_frozen,0.8804014202210094,0.8529274737271522,0.902188488754745
C2:test_1,ipin_optimized,0.8513012002742886,0.82732438245951,0.8714281948488085
C2:test_1,ipin_original,0.8052990587641136,0.7744336977262773,0.8355106933960021
C2:test_1_reconciled,selected,0.8590313827893309,0.8369288168001534,0.8803241734870357
C2:test_1_reconciled,fresh_control,0.879630923817284,0.8605218221291927,0.8964034157919285
C2:test_1_reconciled,ipin_tuna_frozen,0.8745967106194743,0.8487266937441253,0.8965261513301647
C2:test_1_reconciled,ipin_optimized,0.8456433047535081,0.8228590088537413,0.8665950228754074
C2:test_1_reconciled,ipin_original,0.8004229189877451,0.7716904348288824,0.8312597706782276
C2:test_added,selected,0.7952697289142857,0.772404557456841,0.815649337481505
C2:test_added,fresh_control,0.6720034098285715,0.6418152819805976,0.7035419876408562
C2:test_added,ipin_tuna_frozen,0.6697807762285715,0.6434551373995083,0.6988288221545206
C2:test_added,ipin_optimized,0.6549000850285714,0.6252558565793002,0.6845174141884869
C2:test_added,ipin_original,0.6373287657142856,0.6078946945993987,0.6686175362565753
C2:test_2_macro,selected,0.8271505558518083,0.812585222238712,0.8400013914682346
C2:test_2_macro,fresh_control,0.7758171668229278,0.7573968548620171,0.7923671172100705
C2:test_2_macro,ipin_tuna_frozen,0.7721887434240229,0.7537041902669528,0.7885917818725532
C2:test_2_macro,ipin_optimized,0.7502716948910397,0.7309205975335544,0.7678739374460859
C2:test_2_macro,ipin_original,0.7188758423510153,0.6961565548615459,0.7403999898075693
C3:test_1,selected,0.8443840531770341,0.7802216493907567,0.8835760872872426
C3:test_1,fresh_control,0.867271786257893,0.8131791723067632,0.8994117910890761
C3:test_1,ipin_tuna_frozen,0.8158747532609903,0.7320384005635916,0.8667336015488035
C3:test_1,ipin_optimized,0.8079478837782484,0.7404795530896399,0.8520127407617911
C3:test_1,ipin_original,0.7892487591458703,0.7081575439923101,0.8457268114908222
