cohort,panel_id,target_id,model,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
no_exact_any_model_TRAIN_DEV_endpoint,e1929fc6328dcd891c1dbb4f3685e0a625189b9b0273a3647e6866bcf0702162,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_optimized,1,33,34,0.8787878787878788,0.2,5,5,5.0,0.2,1.0,1.0,0.2,6.800000000000001,0.38685280723454163,1.0,1.0,1.0,0.1,3.4000000000000004,0.38685280723454163,1.0,1.0,1.0,0.05,1.7000000000000002,0.38685280723454163,1.0
no_exact_any_model_TRAIN_DEV_endpoint,e1929fc6328dcd891c1dbb4f3685e0a625189b9b0273a3647e6866bcf0702162,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,tuna_retrained,1,33,34,0.18181818181818182,0.03571428571428571,28,28,28.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_exact_any_model_TRAIN_DEV_endpoint,e1929fc6328dcd891c1dbb4f3685e0a625189b9b0273a3647e6866bcf0702162,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_tuna_31k,1,33,34,0.8181818181818182,0.14285714285714285,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,3.4000000000000004,0.3333333333333333,1.0,1.0,1.0,0.05,1.7000000000000002,0.3333333333333333,1.0
all,54960c4bb553cca76027eec9139e89d3b56b5bc799ec7c805d5706465eeeccf7,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_baseline,1,100,101,0.87,0.07142857142857142,14,14,14.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,5.05,0.2559580248098155,1.0
all,54960c4bb553cca76027eec9139e89d3b56b5bc799ec7c805d5706465eeeccf7,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_optimized,1,100,101,0.92,0.1111111111111111,9,9,9.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,10.1,0.3010299956639812,1.0,1.0,1.0,0.05,5.05,0.3010299956639812,1.0
all,54960c4bb553cca76027eec9139e89d3b56b5bc799ec7c805d5706465eeeccf7,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,tuna_retrained,1,100,101,0.97,0.25,4,4,4.0,0.25,1.0,1.0,0.2,20.2,0.43067655807339306,1.0,1.0,1.0,0.1,10.1,0.43067655807339306,1.0,1.0,1.0,0.05,5.05,0.43067655807339306,1.0
all,54960c4bb553cca76027eec9139e89d3b56b5bc799ec7c805d5706465eeeccf7,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_tuna_31k,1,100,101,0.98,0.3333333333333333,3,3,3.0,0.3333333333333333,1.0,1.0,0.2,20.2,0.5,1.0,1.0,1.0,0.1,10.1,0.5,1.0,1.0,1.0,0.05,5.05,0.5,1.0
all,371e0fe2debec3f47bb1d3b26d8a8248960f05c88c14dbf235991829afe3798c,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_baseline,1,100,101,0.95,0.16666666666666666,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,10.1,0.3562071871080222,1.0,1.0,1.0,0.05,5.05,0.3562071871080222,1.0
all,371e0fe2debec3f47bb1d3b26d8a8248960f05c88c14dbf235991829afe3798c,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_optimized,1,100,101,0.99,0.5,2,2,2.0,0.5,1.0,1.0,0.2,20.2,0.6309297535714575,1.0,1.0,1.0,0.1,10.1,0.6309297535714575,1.0,1.0,1.0,0.05,5.05,0.6309297535714575,1.0
all,371e0fe2debec3f47bb1d3b26d8a8248960f05c88c14dbf235991829afe3798c,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,tuna_retrained,1,100,101,0.98,0.3333333333333333,3,3,3.0,0.3333333333333333,1.0,1.0,0.2,20.2,0.5,1.0,1.0,1.0,0.1,10.1,0.5,1.0,1.0,1.0,0.05,5.05,0.5,1.0
all,371e0fe2debec3f47bb1d3b26d8a8248960f05c88c14dbf235991829afe3798c,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_tuna_31k,1,100,101,0.98,0.3333333333333333,3,3,3.0,0.3333333333333333,1.0,1.0,0.2,20.2,0.5,1.0,1.0,1.0,0.1,10.1,0.5,1.0,1.0,1.0,0.05,5.05,0.5,1.0
all,1d345ddcba640defadcb5e9a1c1cb8abf6d68333ece5eb8abfaabb1c80a41538,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_baseline,1,100,101,0.96,0.2,5,5,5.0,0.2,1.0,1.0,0.2,20.2,0.38685280723454163,1.0,1.0,1.0,0.1,10.1,0.38685280723454163,1.0,1.0,1.0,0.05,5.05,0.38685280723454163,1.0
all,1d345ddcba640defadcb5e9a1c1cb8abf6d68333ece5eb8abfaabb1c80a41538,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_optimized,1,100,101,0.97,0.25,4,4,4.0,0.25,1.0,1.0,0.2,20.2,0.43067655807339306,1.0,1.0,1.0,0.1,10.1,0.43067655807339306,1.0,1.0,1.0,0.05,5.05,0.43067655807339306,1.0
all,1d345ddcba640defadcb5e9a1c1cb8abf6d68333ece5eb8abfaabb1c80a41538,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,tuna_retrained,1,100,101,0.67,0.029411764705882353,34,34,34.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,1d345ddcba640defadcb5e9a1c1cb8abf6d68333ece5eb8abfaabb1c80a41538,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_tuna_31k,1,100,101,0.65,0.027777777777777776,36,36,36.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_exact_TRAIN_DEV_endpoint,1d345ddcba640defadcb5e9a1c1cb8abf6d68333ece5eb8abfaabb1c80a41538,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_baseline,1,58,59,0.9655172413793104,0.3333333333333333,3,3,3.0,0.3333333333333333,1.0,1.0,0.2,11.8,0.5,1.0,1.0,1.0,0.1,5.9,0.5,1.0,1.0,1.0,0.05,2.95,0.5,1.0
no_exact_TRAIN_DEV_endpoint,1d345ddcba640defadcb5e9a1c1cb8abf6d68333ece5eb8abfaabb1c80a41538,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_optimized,1,58,59,0.9655172413793104,0.3333333333333333,3,3,3.0,0.3333333333333333,1.0,1.0,0.2,11.8,0.5,1.0,1.0,1.0,0.1,5.9,0.5,1.0,1.0,1.0,0.05,2.95,0.5,1.0
no_exact_TRAIN_DEV_endpoint,1d345ddcba640defadcb5e9a1c1cb8abf6d68333ece5eb8abfaabb1c80a41538,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,tuna_retrained,1,58,59,0.6379310344827587,0.045454545454545456,22,22,22.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_exact_TRAIN_DEV_endpoint,1d345ddcba640defadcb5e9a1c1cb8abf6d68333ece5eb8abfaabb1c80a41538,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_tuna_31k,1,58,59,0.6896551724137931,0.05263157894736842,19,19,19.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,2.95,0.23137821315975915,1.0
no_exact_any_model_TRAIN_DEV_endpoint,1d345ddcba640defadcb5e9a1c1cb8abf6d68333ece5eb8abfaabb1c80a41538,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_baseline,1,17,18,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,3.6000000000000005,1.0,1.0,1.0,1.0,0.1,1.8000000000000003,1.0,1.0,,,,,,
no_exact_any_model_TRAIN_DEV_endpoint,1d345ddcba640defadcb5e9a1c1cb8abf6d68333ece5eb8abfaabb1c80a41538,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_optimized,1,17,18,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,3.6000000000000005,1.0,1.0,1.0,1.0,0.1,1.8000000000000003,1.0,1.0,,,,,,
no_exact_any_model_TRAIN_DEV_endpoint,1d345ddcba640defadcb5e9a1c1cb8abf6d68333ece5eb8abfaabb1c80a41538,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,tuna_retrained,1,17,18,0.5882352941176471,0.125,8,8,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1.8000000000000003,0.31546487678572877,1.0,,,,,,
no_exact_any_model_TRAIN_DEV_endpoint,1d345ddcba640defadcb5e9a1c1cb8abf6d68333ece5eb8abfaabb1c80a41538,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_tuna_31k,1,17,18,0.6470588235294118,0.14285714285714285,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1.8000000000000003,0.3333333333333333,1.0,,,,,,
all,cbbee9756d091a25d377ae8a11cf3ae21898464309b2673413e3cab20a8bb41d,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_baseline,1,100,101,0.71,0.03333333333333333,30,30,30.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,cbbee9756d091a25d377ae8a11cf3ae21898464309b2673413e3cab20a8bb41d,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_optimized,1,100,101,0.56,0.022222222222222223,45,45,45.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,cbbee9756d091a25d377ae8a11cf3ae21898464309b2673413e3cab20a8bb41d,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,tuna_retrained,1,100,101,0.25,0.013157894736842105,76,76,76.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,cbbee9756d091a25d377ae8a11cf3ae21898464309b2673413e3cab20a8bb41d,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_tuna_31k,1,100,101,0.86,0.06666666666666667,15,15,15.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,5.05,0.25,1.0
all,03eb25a1d61592c7e34e4334ccff56de140e1d356fff36afe209e4ae0f56df2c,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_baseline,1,100,101,0.25,0.013157894736842105,76,76,76.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,03eb25a1d61592c7e34e4334ccff56de140e1d356fff36afe209e4ae0f56df2c,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_optimized,1,100,101,0.39,0.016129032258064516,62,62,62.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,03eb25a1d61592c7e34e4334ccff56de140e1d356fff36afe209e4ae0f56df2c,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,tuna_retrained,1,100,101,0.28,0.0136986301369863,73,73,73.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,03eb25a1d61592c7e34e4334ccff56de140e1d356fff36afe209e4ae0f56df2c,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_tuna_31k,1,100,101,0.84,0.058823529411764705,17,17,17.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,5.05,0.23981246656813146,1.0
no_exact_TRAIN_DEV_endpoint,03eb25a1d61592c7e34e4334ccff56de140e1d356fff36afe209e4ae0f56df2c,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_baseline,1,54,55,0.2222222222222222,0.023255813953488372,43,43,43.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_exact_TRAIN_DEV_endpoint,03eb25a1d61592c7e34e4334ccff56de140e1d356fff36afe209e4ae0f56df2c,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_optimized,1,54,55,0.37037037037037035,0.02857142857142857,35,35,35.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_exact_TRAIN_DEV_endpoint,03eb25a1d61592c7e34e4334ccff56de140e1d356fff36afe209e4ae0f56df2c,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,tuna_retrained,1,54,55,0.2777777777777778,0.025,40,40,40.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
