cohort,aggregation,metric,model_a,model_b,difference_b_minus_a,ci_low,ci_high,targets,panels
all,equal_yeast_target,first_positive_rank_expected,ipin_optimized,ipin_tuna_31k,-1.8684622544629015,-3.434994397233702,-0.3493887268432316,545,1555
all,equal_yeast_target,first_positive_rank_expected,tuna_retrained,ipin_tuna_31k,1.0519768706784838,-0.1726567821389687,2.2469684048570597,545,1555
all,equal_positive,recall_at_5,ipin_baseline,ipin_optimized,0.10610932475884244,0.08108066296494515,0.13293282414374794,545,1555
all,equal_positive,recall_at_5,ipin_baseline,tuna_retrained,0.17041800643086819,0.1447282561234307,0.2,545,1555
all,equal_positive,recall_at_5,ipin_baseline,ipin_tuna_31k,0.09774919614147909,0.0678460702805667,0.1254921885780035,545,1555
all,equal_positive,recall_at_5,ipin_optimized,tuna_retrained,0.06430868167202575,0.03925576841815625,0.0907374657901419,545,1555
all,equal_positive,recall_at_5,ipin_optimized,ipin_tuna_31k,-0.00836012861736335,-0.04009444874466032,0.020435198774476294,545,1555
all,equal_positive,recall_at_5,tuna_retrained,ipin_tuna_31k,-0.0726688102893891,-0.10055916451745911,-0.047922115143769206,545,1555
all,equal_yeast_target,recall_at_5,ipin_baseline,ipin_optimized,0.11322349513749369,0.07908467038572967,0.14610721019128048,545,1555
all,equal_yeast_target,recall_at_5,ipin_baseline,tuna_retrained,0.20719513426690783,0.16862705801533087,0.24623316265936976,545,1555
all,equal_yeast_target,recall_at_5,ipin_baseline,ipin_tuna_31k,0.11978675900161478,0.08042738025534224,0.15829199527793072,545,1555
all,equal_yeast_target,recall_at_5,ipin_optimized,tuna_retrained,0.09397163912941414,0.05987980081103767,0.12824814215911987,545,1555
all,equal_yeast_target,recall_at_5,ipin_optimized,ipin_tuna_31k,0.006563263864121094,-0.02894279083891748,0.042044611749610876,545,1555
all,equal_yeast_target,recall_at_5,tuna_retrained,ipin_tuna_31k,-0.08740837526529305,-0.11690488060888685,-0.05848028630500688,545,1555
all,equal_positive,recall_at_10,ipin_baseline,ipin_optimized,0.11897106109324757,0.0956059431524548,0.1439776028297131,545,1555
all,equal_positive,recall_at_10,ipin_baseline,tuna_retrained,0.1665594855305466,0.139247647818467,0.19407687460617523,545,1555
all,equal_positive,recall_at_10,ipin_baseline,ipin_tuna_31k,0.11961414790996783,0.08677638778821842,0.15003248358443882,545,1555
all,equal_positive,recall_at_10,ipin_optimized,tuna_retrained,0.04758842443729905,0.02094179013784968,0.07257555371676774,545,1555
all,equal_positive,recall_at_10,ipin_optimized,ipin_tuna_31k,0.0006430868167202619,-0.033630859099267406,0.03205619349494668,545,1555
all,equal_positive,recall_at_10,tuna_retrained,ipin_tuna_31k,-0.046945337620578786,-0.07363101828050166,-0.023699724500716057,545,1555
all,equal_yeast_target,recall_at_10,ipin_baseline,ipin_optimized,0.1171460591509082,0.08481835869046678,0.14918134481601628,545,1555
all,equal_yeast_target,recall_at_10,ipin_baseline,tuna_retrained,0.1814308811103706,0.1449760299793944,0.21855560658525813,545,1555
all,equal_yeast_target,recall_at_10,ipin_baseline,ipin_tuna_31k,0.12770205089803438,0.08967138290881783,0.16664448792371683,545,1555
all,equal_yeast_target,recall_at_10,ipin_optimized,tuna_retrained,0.06428482195946239,0.03320656842406691,0.09621211000762125,545,1555
all,equal_yeast_target,recall_at_10,ipin_optimized,ipin_tuna_31k,0.010555991747126181,-0.023207430667484766,0.04510172632487179,545,1555
