cohort,aggregation,model,metric,estimate,ci_low,ci_high,targets,panels,P,U
all,equal_positive,ipin_optimized,recall_at_20,0.6385852090032155,0.5927223453078018,0.6834899742996686,545,1555,1555,155500
all,equal_positive,tuna_retrained,recall_at_20,0.6713826366559486,0.628753967055783,0.7143818514094328,545,1555,1555,155500
all,equal_positive,ipin_tuna_31k,recall_at_20,0.645016077170418,0.613945040041333,0.6784922394678492,545,1555,1555,155500
all,equal_yeast_target,ipin_baseline,recall_at_20,0.5796055257957756,0.5435486146717574,0.6152619308819891,545,1555,1555,155500
all,equal_yeast_target,ipin_optimized,recall_at_20,0.6786292091740029,0.6442705972815208,0.7118617234812609,545,1555,1555,155500
all,equal_yeast_target,tuna_retrained,recall_at_20,0.7251185296302071,0.6932893598741271,0.7559168109883808,545,1555,1555,155500
all,equal_yeast_target,ipin_tuna_31k,recall_at_20,0.6992298834375898,0.6667299471595458,0.7319949493949749,545,1555,1555,155500
all,equal_positive,ipin_baseline,NDCG_at_10,0.19358123185743475,0.17122447596487156,0.217963470565066,545,1555,1555,155500
all,equal_positive,ipin_optimized,NDCG_at_10,0.28469304892687397,0.2522602276501716,0.3202592506268289,545,1555,1555,155500
all,equal_positive,tuna_retrained,NDCG_at_10,0.33351611849555257,0.3012957918942647,0.3691850601567171,545,1555,1555,155500
all,equal_positive,ipin_tuna_31k,NDCG_at_10,0.27251228320884646,0.24964487839541777,0.29866436604431074,545,1555,1555,155500
all,equal_yeast_target,ipin_baseline,NDCG_at_10,0.21685825410441822,0.19539204624875056,0.2386590942370361,545,1555,1555,155500
all,equal_yeast_target,ipin_optimized,NDCG_at_10,0.32541687702470207,0.2984580357916116,0.35319714543620456,545,1555,1555,155500
all,equal_yeast_target,tuna_retrained,NDCG_at_10,0.394691201629462,0.36584441048744076,0.4240038369808786,545,1555,1555,155500
all,equal_yeast_target,ipin_tuna_31k,NDCG_at_10,0.3251801869249762,0.2980080981876179,0.35262821644412357,545,1555,1555,155500
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_baseline,P_vs_U_concordance,0.7542753695681645,0.7252446377931357,0.7832835239712433,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_optimized,P_vs_U_concordance,0.7839910802576849,0.7512537767000068,0.8151690457276861,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,tuna_retrained,P_vs_U_concordance,0.7960668818308339,0.7537468595555027,0.8327963150884305,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_tuna_31k,P_vs_U_concordance,0.7975736165073999,0.7785382515753403,0.8177008895614631,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_baseline,P_vs_U_concordance,0.7753849320987729,0.7489781246113567,0.8006243474433463,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_optimized,P_vs_U_concordance,0.7983667606908481,0.7714106865258588,0.8242043220792914,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,tuna_retrained,P_vs_U_concordance,0.8248783890006384,0.8011650427187763,0.848125089938459,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_tuna_31k,P_vs_U_concordance,0.8095295557495842,0.7878128448300389,0.8303489668300851,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_baseline,average_precision,0.22159991102146406,0.19348528404470294,0.2540944156727207,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_optimized,average_precision,0.294145293875835,0.25478559545311735,0.3389199131457325,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,tuna_retrained,average_precision,0.32254742008836823,0.28231136020102915,0.36551042752512536,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_tuna_31k,average_precision,0.27021344567818883,0.24028008695387473,0.3039177968626668,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_baseline,average_precision,0.2584799919839952,0.22611575372330886,0.291999017983646,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_optimized,average_precision,0.3357718821481939,0.29745998599692614,0.37532655742908605,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,tuna_retrained,average_precision,0.37054281788818966,0.33061174500827445,0.41112732664379753,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_tuna_31k,average_precision,0.2903565377716669,0.2532386912575367,0.3284397036178366,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_baseline,reciprocal_rank,0.22159991102146406,0.19348528404470294,0.2540944156727207,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_optimized,reciprocal_rank,0.294145293875835,0.25478559545311735,0.3389199131457325,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,tuna_retrained,reciprocal_rank,0.32254742008836823,0.28231136020102915,0.36551042752512536,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_tuna_31k,reciprocal_rank,0.27021344567818883,0.24028008695387473,0.3039177968626668,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_baseline,reciprocal_rank,0.2584799919839952,0.22611575372330886,0.291999017983646,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_optimized,reciprocal_rank,0.3357718821481939,0.29745998599692614,0.37532655742908605,277,631,631,38898
