model,epoch,K,queries,EF,Hits,Recall,Known_positive_rate,Any_hit
ipin_optimized,4,10,814,8.935444434066406,0.6486486486486487,0.11347423413587757,0.06486486486486498,0.3108108108108108
ipin_optimized,4,20,814,6.922665562700626,1.0786240786240786,0.17575313911495125,0.05393120393120394,0.40171990171990174
ipin_optimized,4,30,814,5.887914256828018,1.4373464373464373,0.2242651487899634,0.04791154791154804,0.457002457002457
ipin_optimized,8,10,814,8.7535872260909,0.6142506142506142,0.11119705074611855,0.06142506142506156,0.300982800982801
ipin_optimized,8,20,814,6.702962546665788,1.0331695331695332,0.17018398411062005,0.05165847665847669,0.3906633906633907
ipin_optimized,8,30,814,5.72733879844464,1.3857493857493857,0.21820689312584926,0.046191646191646306,0.4484029484029484
tuna_retrained,4,10,814,8.65796108026428,0.6216216216216216,0.10984660051626818,0.062162162162162304,0.29115479115479115
tuna_retrained,4,20,814,6.206322902725503,1.0356265356265357,0.1573789369495742,0.05178132678132676,0.343980343980344
tuna_retrained,4,30,814,5.183318770454211,1.4127764127764129,0.19701627505345892,0.04709254709254721,0.3968058968058968
tuna_retrained,8,10,814,8.160167921399449,0.6167076167076168,0.10340073640005759,0.06167076167076183,0.28255528255528256
tuna_retrained,8,20,814,6.50447147419072,1.1056511056511056,0.1649412327539112,0.05528255528255525,0.36240786240786244
tuna_retrained,8,30,814,5.459293824877253,1.4914004914004915,0.20756199622895843,0.04971334971334986,0.41277641277641275
