dataset,subgroup,model,K,primary_selected,queries,components,EF,EF_low,EF_high,Hits,Hits_low,Hits_high,Recall,Recall_low,Recall_high,Known_positive_rate,Known_positive_rate_low,Known_positive_rate_high,Any_hit,Any_hit_low,Any_hit_high,total_oriented_query_hits,micro_recall_oriented,median_hits
C3_test,all,ipin_baseline,10,False,842,505,8.87986738548852,6.504470937888911,11.08155713695052,0.6912114014251781,0.38085601040105455,1.1457977513387285,0.11256725300989558,0.0826219369357208,0.14063626200278953,0.06912114014251802,0.03808560104010552,0.11457977513387273,0.32422802850356297,0.2552565789473684,0.40142662496477316,582.0,0.1223203026481715,0.0
C3_test,all,ipin_baseline,20,False,842,505,6.91311126428893,5.281153897020297,8.607579495457069,1.2256532066508314,0.6500661970468413,2.0991756965944264,0.17536249805221876,0.13384564037215851,0.21801270739510972,0.06128266033254146,0.032503309852342135,0.10495878482972104,0.4085510688836104,0.34227160817563335,0.4790580196695208,1032.0,0.21689785624211855,0.0
C3_test,all,ipin_baseline,30,False,842,505,6.078444560584884,4.8560231823857904,7.32362204094744,1.6413301662707838,0.8870233678061104,2.8109923833633106,0.23122374659122352,0.18488634016090583,0.27806901323873007,0.05471100554235956,0.029567445593537026,0.09369974611211035,0.47624703087885983,0.414504879209041,0.539873294282069,1382.0,0.29045817570407734,0.0
C3_test,all,ipin_optimized,10,False,842,505,11.247367740118335,8.748502335688906,13.837109300803721,0.7672209026128266,0.44008287091121495,1.2242142360857162,0.14286835517593155,0.11092044163336053,0.17594473049510184,0.07672209026128285,0.04400828709112155,0.12242142360857151,0.3515439429928741,0.2831087564661572,0.42710513988499055,646.0,0.13577133249264398,0.0
C3_test,all,ipin_optimized,20,False,842,505,8.249488768248607,6.65502989243386,9.885235249038741,1.331353919239905,0.7283657485094077,2.2529756363306195,0.20937746374921315,0.16899148220090363,0.250644997597665,0.06656769596199508,0.036418287425470444,0.11264878181653082,0.43824228028503565,0.3735114565404475,0.5073825755021265,1121.0,0.23560319461958806,0.0
C3_test,all,ipin_optimized,30,False,842,505,7.035650488960932,5.675650308774854,8.403940235888461,1.7779097387173397,0.9642790677064871,3.0083100396071387,0.2675842703802591,0.2159508797858303,0.31895784121023246,0.05926365795724469,0.03214263559021633,0.1002770013202378,0.5118764845605701,0.4472348006044392,0.5761525174341628,1497.0,0.3146279949558638,1.0
C3_test,all,tuna_retrained,10,False,842,505,13.032473436131504,10.319647697087827,15.590552175162681,0.831353919239905,0.5047507029037195,1.3106404958677684,0.1654056579100522,0.13114532534750722,0.1979530004750159,0.08313539192399066,0.050475070290372064,0.1310640495867766,0.3812351543942993,0.31408707698937527,0.45222996771843527,700.0,0.1471206389239176,0.0
C3_test,all,tuna_retrained,20,False,842,505,9.67798629744619,7.897220929070917,11.309139964245244,1.4536817102137767,0.8406509370816599,2.374955698245865,0.24543917625495618,0.20048409310767373,0.28692296460673644,0.07268408551068864,0.04203254685408307,0.1187477849122929,0.4845605700712589,0.4201638655462185,0.5478792816670949,1224.0,0.2572509457755359,0.0
C3_test,all,tuna_retrained,30,False,842,505,7.848052834274858,6.413130293862677,9.171865853195753,1.8705463182897861,1.053151232511659,3.111717969663775,0.29844948489325457,0.2443322841221721,0.34866749748612064,0.062351543942992964,0.03510504108372205,0.10372393232212566,0.5534441805225653,0.4886289593465519,0.6133341288782815,1575.0,0.33102143757881464,1.0
C3_test,all,combo_55_45,10,False,842,505,13.775925061154352,11.183505129069173,16.360009001554015,0.8693586698337292,0.5293249706526223,1.3500388531618435,0.17487784716301374,0.14180543703092882,0.2077597205263941,0.08693586698337306,0.052932497065262304,0.13500388531618407,0.4002375296912114,0.3345617775895877,0.47237633703969883,732.0,0.15384615384615385,0.0
