variant,epoch,K,queries,EF,Hits,Recall,Known_positive_rate,Any_hit
query_balanced,1,10,814,9.548729247789971,0.7051597051597052,0.121179205234856,0.07051597051597067,0.3144963144963145
query_balanced,1,20,814,7.4266270253590685,1.1916461916461916,0.18856458883718516,0.059582309582309485,0.3955773955773956
query_balanced,1,30,814,6.159377253160115,1.554054054054054,0.23458751702164482,0.05180180180180197,0.44963144963144963
query_balanced,2,10,814,9.90782402864111,0.7014742014742015,0.12569581796334922,0.0701474201474203,0.32678132678132676
query_balanced,2,20,814,7.030451676226802,1.1216216216216217,0.17853706381836706,0.056081081081081036,0.39926289926289926
query_balanced,2,30,814,6.123146077158408,1.479115479115479,0.2333239770803728,0.0493038493038494,0.4656019656019656
query_balanced,3,10,814,9.000418352166948,0.6695331695331695,0.11438236620320569,0.06695331695331709,0.3108108108108108
query_balanced,3,20,814,7.049730280371316,1.1117936117936118,0.17908161891005334,0.05558968058968057,0.40171990171990174
query_balanced,3,30,814,6.07174287432337,1.450859950859951,0.23142710811656708,0.0483619983619985,0.4656019656019656
query_balanced,4,10,814,8.86686504931303,0.6388206388206388,0.11263353660007015,0.06388206388206402,0.3046683046683047
query_balanced,4,20,814,7.119657375344552,1.1031941031941033,0.1809156542627121,0.055159705159705155,0.40540540540540543
query_balanced,4,30,814,6.035822068690574,1.4312039312039313,0.22987730079771482,0.04770679770679786,0.4631449631449631
query_balanced,5,10,814,8.954208317764014,0.6351351351351351,0.11372588415571948,0.06351351351351366,0.3108108108108108
query_balanced,5,20,814,7.220862737616228,1.0896805896805897,0.1835077754506541,0.054484029484029466,0.41154791154791154
query_balanced,5,30,814,6.0667678895120885,1.4176904176904177,0.2310606282431165,0.04725634725634739,0.4643734643734644
query_balanced,6,10,814,9.082175030978624,0.6253071253071253,0.11540078935423688,0.06253071253071267,0.3157248157248157
query_balanced,6,20,814,6.979563229621375,1.0638820638820639,0.1772685317103921,0.053194103194103184,0.40540540540540543
query_balanced,6,30,814,5.99370991114355,1.3882063882063882,0.2283131789951044,0.04627354627354641,0.4631449631449631
query_balanced,7,10,814,9.004927785761806,0.6228501228501229,0.11449763329388003,0.06228501228501243,0.31203931203931207
query_balanced,7,20,814,7.062827248308802,1.07002457002457,0.1793758399076849,0.05350122850122851,0.40417690417690416
query_balanced,7,30,814,5.926943141275452,1.3845208845208845,0.22574605122702657,0.046150696150696294,0.4594594594594595
query_balanced,8,10,814,8.834071871947003,0.6031941031941032,0.11235518284058528,0.060319410319410446,0.3095823095823096
query_balanced,8,20,814,7.035547295983054,1.0565110565110565,0.1786601315356971,0.052825552825552846,0.40540540540540543
query_balanced,8,30,814,5.846106292594499,1.3574938574938575,0.2226599535531106,0.04524979524979538,0.457002457002457
shortlist_weighted,1,10,814,9.548729247789971,0.7051597051597052,0.121179205234856,0.07051597051597067,0.3144963144963145
shortlist_weighted,1,20,814,7.4266270253590685,1.1916461916461916,0.18856458883718516,0.059582309582309485,0.3955773955773956
shortlist_weighted,1,30,814,6.159377253160115,1.554054054054054,0.23458751702164482,0.05180180180180197,0.44963144963144963
shortlist_weighted,2,10,814,8.381340111041938,0.6142506142506142,0.10656859697633826,0.06142506142506157,0.2972972972972973
shortlist_weighted,2,20,814,6.585921032118807,1.049140049140049,0.1669680580204981,0.052457002457002466,0.386977886977887
shortlist_weighted,2,30,814,5.576579714561003,1.3415233415233416,0.21228100074048548,0.04471744471744486,0.44963144963144963
shortlist_weighted,3,10,814,8.905558589948162,0.6437346437346437,0.11307906849731902,0.06437346437346453,0.3108108108108108
shortlist_weighted,3,20,814,6.788244148858862,1.085995085995086,0.17219919719893081,0.05429975429975426,0.3968058968058968
shortlist_weighted,3,30,814,5.741166669961401,1.3943488943488944,0.21858938338018977,0.04647829647829661,0.44963144963144963
shortlist_weighted,4,10,814,8.635359768036286,0.6031941031941032,0.10978896925141393,0.06031941031941047,0.3034398034398034
shortlist_weighted,4,20,814,6.805760569836218,1.049140049140049,0.17280347791847475,0.05245700245700248,0.3955773955773956
shortlist_weighted,4,30,814,5.605191740480639,1.3341523341523343,0.21330755377679442,0.044471744471744644,0.44717444717444715
shortlist_weighted,5,10,814,8.419320366731604,0.5933660933660934,0.10704383667248557,0.05933660933660949,0.300982800982801
shortlist_weighted,5,20,814,6.915930271447903,1.038083538083538,0.1755797221609778,0.051904176904176924,0.4004914004914005
shortlist_weighted,5,30,814,5.691823349290688,1.3353808353808354,0.2166473027287792,0.04451269451269467,0.45085995085995084
shortlist_weighted,6,10,814,8.380728479722533,0.5675675675675675,0.1066406055990999,0.0567567567567569,0.29975429975429974
shortlist_weighted,6,20,814,6.714311612928973,1.0184275184275184,0.17033262499654064,0.05092137592137593,0.3968058968058968
shortlist_weighted,6,30,814,5.5768092769101285,1.3095823095823096,0.21235015703591437,0.04365274365274382,0.44226044226044225
shortlist_weighted,7,10,814,8.377884586667358,0.5773955773955773,0.10668184726801534,0.05773955773955788,0.29975429975429974
shortlist_weighted,7,20,814,6.67166827125311,1.020884520884521,0.16937006585471615,0.05104422604422604,0.3968058968058968
shortlist_weighted,7,30,814,5.614420981051414,1.3255528255528255,0.21375507000940974,0.04418509418509435,0.4520884520884521
shortlist_weighted,8,10,814,8.241793055325063,0.558968058968059,0.10496601164000102,0.055896805896806026,0.29484029484029484
shortlist_weighted,8,20,814,6.574362166849307,0.984029484029484,0.16687835233194429,0.049201474201474214,0.3968058968058968
shortlist_weighted,8,30,814,5.547603435922544,1.2911547911547911,0.21123412381310092,0.043038493038493233,0.4484029484029484
