species,target_id,subset,candidate_set,P,U,evaluable
arabidopsis,arabidopsis:Q84JE5,no_exact_any_model_TRAIN_DEV_endpoint,all_U,5,200,True
arabidopsis,arabidopsis:P48007,all,background,7,100,True
arabidopsis,arabidopsis:P48007,all,matched,7,100,True
arabidopsis,arabidopsis:P48007,all,all_U,7,200,True
arabidopsis,arabidopsis:P48007,no_exact_TRAIN_DEV_endpoint,background,7,100,True
arabidopsis,arabidopsis:P48007,no_exact_TRAIN_DEV_endpoint,matched,7,100,True
arabidopsis,arabidopsis:P48007,no_exact_TRAIN_DEV_endpoint,all_U,7,200,True
arabidopsis,arabidopsis:P48007,no_exact_any_model_TRAIN_DEV_endpoint,background,7,100,True
arabidopsis,arabidopsis:P48007,no_exact_any_model_TRAIN_DEV_endpoint,matched,7,100,True
arabidopsis,arabidopsis:P48007,no_exact_any_model_TRAIN_DEV_endpoint,all_U,7,200,True
arabidopsis,arabidopsis:Q9M0I9,all,background,2,100,True
arabidopsis,arabidopsis:Q9M0I9,all,matched,2,100,True
arabidopsis,arabidopsis:Q9M0I9,all,all_U,2,200,True
arabidopsis,arabidopsis:Q9M0I9,no_exact_TRAIN_DEV_endpoint,background,2,100,True
arabidopsis,arabidopsis:Q9M0I9,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
arabidopsis,arabidopsis:Q9M0I9,no_exact_TRAIN_DEV_endpoint,all_U,2,200,True
arabidopsis,arabidopsis:Q9M0I9,no_exact_any_model_TRAIN_DEV_endpoint,background,2,100,True
arabidopsis,arabidopsis:Q9M0I9,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
arabidopsis,arabidopsis:Q9M0I9,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,200,True
arabidopsis,arabidopsis:B3H7D8,all,background,10,100,True
arabidopsis,arabidopsis:B3H7D8,all,matched,10,100,True
arabidopsis,arabidopsis:B3H7D8,all,all_U,10,200,True
arabidopsis,arabidopsis:B3H7D8,no_exact_TRAIN_DEV_endpoint,background,10,100,True
arabidopsis,arabidopsis:B3H7D8,no_exact_TRAIN_DEV_endpoint,matched,10,100,True
arabidopsis,arabidopsis:B3H7D8,no_exact_TRAIN_DEV_endpoint,all_U,10,200,True
arabidopsis,arabidopsis:B3H7D8,no_exact_any_model_TRAIN_DEV_endpoint,background,10,100,True
arabidopsis,arabidopsis:B3H7D8,no_exact_any_model_TRAIN_DEV_endpoint,matched,10,100,True
arabidopsis,arabidopsis:B3H7D8,no_exact_any_model_TRAIN_DEV_endpoint,all_U,10,200,True
arabidopsis,arabidopsis:Q9ZQX4,all,background,3,100,True
arabidopsis,arabidopsis:Q9ZQX4,all,matched,3,100,True
arabidopsis,arabidopsis:Q9ZQX4,all,all_U,3,200,True
arabidopsis,arabidopsis:Q9ZQX4,no_exact_TRAIN_DEV_endpoint,background,3,100,True
arabidopsis,arabidopsis:Q9ZQX4,no_exact_TRAIN_DEV_endpoint,matched,3,100,True
arabidopsis,arabidopsis:Q9ZQX4,no_exact_TRAIN_DEV_endpoint,all_U,3,200,True
arabidopsis,arabidopsis:Q9ZQX4,no_exact_any_model_TRAIN_DEV_endpoint,background,3,100,True
arabidopsis,arabidopsis:Q9ZQX4,no_exact_any_model_TRAIN_DEV_endpoint,matched,3,100,True
arabidopsis,arabidopsis:Q9ZQX4,no_exact_any_model_TRAIN_DEV_endpoint,all_U,3,200,True
arabidopsis,arabidopsis:P45724,all,background,4,100,True
arabidopsis,arabidopsis:P45724,all,matched,4,100,True
arabidopsis,arabidopsis:P45724,all,all_U,4,200,True
arabidopsis,arabidopsis:P45724,no_exact_TRAIN_DEV_endpoint,background,4,100,True
arabidopsis,arabidopsis:P45724,no_exact_TRAIN_DEV_endpoint,matched,4,100,True
arabidopsis,arabidopsis:P45724,no_exact_TRAIN_DEV_endpoint,all_U,4,200,True
arabidopsis,arabidopsis:P45724,no_exact_any_model_TRAIN_DEV_endpoint,background,4,100,True
arabidopsis,arabidopsis:P45724,no_exact_any_model_TRAIN_DEV_endpoint,matched,4,100,True
arabidopsis,arabidopsis:P45724,no_exact_any_model_TRAIN_DEV_endpoint,all_U,4,200,True
arabidopsis,arabidopsis:Q9LZ65,all,background,5,100,True
arabidopsis,arabidopsis:Q9LZ65,all,matched,5,100,True
arabidopsis,arabidopsis:Q9LZ65,all,all_U,5,200,True
arabidopsis,arabidopsis:Q9LZ65,no_exact_TRAIN_DEV_endpoint,background,5,100,True
arabidopsis,arabidopsis:Q9LZ65,no_exact_TRAIN_DEV_endpoint,matched,5,100,True
arabidopsis,arabidopsis:Q9LZ65,no_exact_TRAIN_DEV_endpoint,all_U,5,200,True
arabidopsis,arabidopsis:Q9LZ65,no_exact_any_model_TRAIN_DEV_endpoint,background,5,100,True
arabidopsis,arabidopsis:Q9LZ65,no_exact_any_model_TRAIN_DEV_endpoint,matched,5,100,True
arabidopsis,arabidopsis:Q9LZ65,no_exact_any_model_TRAIN_DEV_endpoint,all_U,5,200,True
arabidopsis,arabidopsis:Q93V36,all,background,2,100,True
arabidopsis,arabidopsis:Q93V36,all,matched,2,100,True
arabidopsis,arabidopsis:Q93V36,all,all_U,2,200,True
arabidopsis,arabidopsis:Q93V36,no_exact_TRAIN_DEV_endpoint,background,2,100,True
arabidopsis,arabidopsis:Q93V36,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
arabidopsis,arabidopsis:Q93V36,no_exact_TRAIN_DEV_endpoint,all_U,2,200,True
arabidopsis,arabidopsis:Q93V36,no_exact_any_model_TRAIN_DEV_endpoint,background,2,100,True
arabidopsis,arabidopsis:Q93V36,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
arabidopsis,arabidopsis:Q93V36,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,200,True
arabidopsis,arabidopsis:B2C6R6,all,background,2,100,True
arabidopsis,arabidopsis:B2C6R6,all,matched,2,100,True
arabidopsis,arabidopsis:B2C6R6,all,all_U,2,200,True
arabidopsis,arabidopsis:B2C6R6,no_exact_TRAIN_DEV_endpoint,background,2,100,True
arabidopsis,arabidopsis:B2C6R6,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
arabidopsis,arabidopsis:B2C6R6,no_exact_TRAIN_DEV_endpoint,all_U,2,200,True
arabidopsis,arabidopsis:B2C6R6,no_exact_any_model_TRAIN_DEV_endpoint,background,2,100,True
arabidopsis,arabidopsis:B2C6R6,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
arabidopsis,arabidopsis:B2C6R6,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,200,True
arabidopsis,arabidopsis:Q8VYW1,all,background,6,100,True
arabidopsis,arabidopsis:Q8VYW1,all,matched,6,100,True
arabidopsis,arabidopsis:Q8VYW1,all,all_U,6,200,True
arabidopsis,arabidopsis:Q8VYW1,no_exact_TRAIN_DEV_endpoint,background,6,100,True
arabidopsis,arabidopsis:Q8VYW1,no_exact_TRAIN_DEV_endpoint,matched,6,100,True
arabidopsis,arabidopsis:Q8VYW1,no_exact_TRAIN_DEV_endpoint,all_U,6,200,True
arabidopsis,arabidopsis:Q8VYW1,no_exact_any_model_TRAIN_DEV_endpoint,background,6,100,True
arabidopsis,arabidopsis:Q8VYW1,no_exact_any_model_TRAIN_DEV_endpoint,matched,6,100,True
arabidopsis,arabidopsis:Q8VYW1,no_exact_any_model_TRAIN_DEV_endpoint,all_U,6,200,True
arabidopsis,arabidopsis:Q9LR64,all,background,3,100,True
arabidopsis,arabidopsis:Q9LR64,all,matched,3,100,True
arabidopsis,arabidopsis:Q9LR64,all,all_U,3,200,True
arabidopsis,arabidopsis:Q9LR64,no_exact_TRAIN_DEV_endpoint,background,3,100,True
arabidopsis,arabidopsis:Q9LR64,no_exact_TRAIN_DEV_endpoint,matched,3,100,True
arabidopsis,arabidopsis:Q9LR64,no_exact_TRAIN_DEV_endpoint,all_U,3,200,True
arabidopsis,arabidopsis:Q9LR64,no_exact_any_model_TRAIN_DEV_endpoint,background,3,100,True
arabidopsis,arabidopsis:Q9LR64,no_exact_any_model_TRAIN_DEV_endpoint,matched,3,100,True
arabidopsis,arabidopsis:Q9LR64,no_exact_any_model_TRAIN_DEV_endpoint,all_U,3,200,True
ecoli,ecoli:P17410,all,background,6,100,True
ecoli,ecoli:P17410,all,matched,6,100,True
ecoli,ecoli:P17410,all,all_U,6,200,True
ecoli,ecoli:P17410,no_exact_TRAIN_DEV_endpoint,background,6,100,True
ecoli,ecoli:P17410,no_exact_TRAIN_DEV_endpoint,matched,6,100,True
ecoli,ecoli:P17410,no_exact_TRAIN_DEV_endpoint,all_U,6,200,True
ecoli,ecoli:P17410,no_exact_any_model_TRAIN_DEV_endpoint,background,6,100,True
ecoli,ecoli:P17410,no_exact_any_model_TRAIN_DEV_endpoint,matched,6,100,True
ecoli,ecoli:P17410,no_exact_any_model_TRAIN_DEV_endpoint,all_U,6,200,True
ecoli,ecoli:P0A8R9,all,background,5,100,True
ecoli,ecoli:P0A8R9,all,matched,5,100,True
ecoli,ecoli:P0A8R9,all,all_U,5,200,True
ecoli,ecoli:P0A8R9,no_exact_TRAIN_DEV_endpoint,background,5,100,True
ecoli,ecoli:P0A8R9,no_exact_TRAIN_DEV_endpoint,matched,5,100,True
ecoli,ecoli:P0A8R9,no_exact_TRAIN_DEV_endpoint,all_U,5,200,True
ecoli,ecoli:P0A8R9,no_exact_any_model_TRAIN_DEV_endpoint,background,5,100,True
ecoli,ecoli:P0A8R9,no_exact_any_model_TRAIN_DEV_endpoint,matched,5,100,True
ecoli,ecoli:P0A8R9,no_exact_any_model_TRAIN_DEV_endpoint,all_U,5,200,True
ecoli,ecoli:P78271,all,background,2,100,True
ecoli,ecoli:P78271,all,matched,2,100,True
ecoli,ecoli:P78271,all,all_U,2,200,True
ecoli,ecoli:P78271,no_exact_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P78271,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P78271,no_exact_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P78271,no_exact_any_model_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P78271,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P78271,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P0ADI4,all,background,5,100,True
ecoli,ecoli:P0ADI4,all,matched,5,100,True
ecoli,ecoli:P0ADI4,all,all_U,5,200,True
ecoli,ecoli:P0ADI4,no_exact_TRAIN_DEV_endpoint,background,5,100,True
ecoli,ecoli:P0ADI4,no_exact_TRAIN_DEV_endpoint,matched,5,100,True
ecoli,ecoli:P0ADI4,no_exact_TRAIN_DEV_endpoint,all_U,5,200,True
ecoli,ecoli:P0ADI4,no_exact_any_model_TRAIN_DEV_endpoint,background,5,100,True
ecoli,ecoli:P0ADI4,no_exact_any_model_TRAIN_DEV_endpoint,matched,5,100,True
ecoli,ecoli:P0ADI4,no_exact_any_model_TRAIN_DEV_endpoint,all_U,5,200,True
ecoli,ecoli:P37759,all,background,3,100,True
ecoli,ecoli:P37759,all,matched,3,100,True
ecoli,ecoli:P37759,all,all_U,3,200,True
ecoli,ecoli:P37759,no_exact_TRAIN_DEV_endpoint,background,3,100,True
ecoli,ecoli:P37759,no_exact_TRAIN_DEV_endpoint,matched,3,100,True
ecoli,ecoli:P37759,no_exact_TRAIN_DEV_endpoint,all_U,3,200,True
ecoli,ecoli:P37759,no_exact_any_model_TRAIN_DEV_endpoint,background,3,100,True
ecoli,ecoli:P37759,no_exact_any_model_TRAIN_DEV_endpoint,matched,3,100,True
ecoli,ecoli:P37759,no_exact_any_model_TRAIN_DEV_endpoint,all_U,3,200,True
ecoli,ecoli:P0A7A5,all,background,2,100,True
ecoli,ecoli:P0A7A5,all,matched,2,100,True
ecoli,ecoli:P0A7A5,all,all_U,2,200,True
ecoli,ecoli:P0A7A5,no_exact_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P0A7A5,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P0A7A5,no_exact_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P0A7A5,no_exact_any_model_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P0A7A5,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P0A7A5,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P20605,all,background,4,100,True
ecoli,ecoli:P20605,all,matched,4,100,True
ecoli,ecoli:P20605,all,all_U,4,200,True
ecoli,ecoli:P20605,no_exact_TRAIN_DEV_endpoint,background,4,100,True
ecoli,ecoli:P20605,no_exact_TRAIN_DEV_endpoint,matched,4,100,True
ecoli,ecoli:P20605,no_exact_TRAIN_DEV_endpoint,all_U,4,200,True
ecoli,ecoli:P20605,no_exact_any_model_TRAIN_DEV_endpoint,background,4,100,True
ecoli,ecoli:P20605,no_exact_any_model_TRAIN_DEV_endpoint,matched,4,100,True
ecoli,ecoli:P20605,no_exact_any_model_TRAIN_DEV_endpoint,all_U,4,200,True
ecoli,ecoli:P77650,all,background,5,100,True
ecoli,ecoli:P77650,all,matched,5,100,True
ecoli,ecoli:P77650,all,all_U,5,200,True
ecoli,ecoli:P77650,no_exact_TRAIN_DEV_endpoint,background,5,100,True
ecoli,ecoli:P77650,no_exact_TRAIN_DEV_endpoint,matched,5,100,True
ecoli,ecoli:P77650,no_exact_TRAIN_DEV_endpoint,all_U,5,200,True
ecoli,ecoli:P77650,no_exact_any_model_TRAIN_DEV_endpoint,background,5,100,True
ecoli,ecoli:P77650,no_exact_any_model_TRAIN_DEV_endpoint,matched,5,100,True
ecoli,ecoli:P77650,no_exact_any_model_TRAIN_DEV_endpoint,all_U,5,200,True
ecoli,ecoli:P0A858,all,background,2,100,True
ecoli,ecoli:P0A858,all,matched,2,100,True
ecoli,ecoli:P0A858,all,all_U,2,200,True
ecoli,ecoli:P0A858,no_exact_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P0A858,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P0A858,no_exact_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P0A858,no_exact_any_model_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P0A858,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P0A858,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P33129,all,background,5,100,True
ecoli,ecoli:P33129,all,matched,5,100,True
ecoli,ecoli:P33129,all,all_U,5,200,True
ecoli,ecoli:P33129,no_exact_TRAIN_DEV_endpoint,background,5,100,True
ecoli,ecoli:P33129,no_exact_TRAIN_DEV_endpoint,matched,5,100,True
ecoli,ecoli:P33129,no_exact_TRAIN_DEV_endpoint,all_U,5,200,True
ecoli,ecoli:P33129,no_exact_any_model_TRAIN_DEV_endpoint,background,5,100,True
ecoli,ecoli:P33129,no_exact_any_model_TRAIN_DEV_endpoint,matched,5,100,True
ecoli,ecoli:P33129,no_exact_any_model_TRAIN_DEV_endpoint,all_U,5,200,True
ecoli,ecoli:P75691,all,background,2,100,True
ecoli,ecoli:P75691,all,matched,2,100,True
ecoli,ecoli:P75691,all,all_U,2,200,True
ecoli,ecoli:P75691,no_exact_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P75691,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P75691,no_exact_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P75691,no_exact_any_model_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P75691,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P75691,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P0AG51,all,background,2,100,True
ecoli,ecoli:P0AG51,all,matched,2,100,True
ecoli,ecoli:P0AG51,all,all_U,2,200,True
ecoli,ecoli:P0AG51,no_exact_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P0AG51,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P0AG51,no_exact_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P0AG51,no_exact_any_model_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P0AG51,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P0AG51,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P32669,all,background,4,100,True
ecoli,ecoli:P32669,all,matched,4,100,True
ecoli,ecoli:P32669,all,all_U,4,200,True
ecoli,ecoli:P32669,no_exact_TRAIN_DEV_endpoint,background,4,100,True
ecoli,ecoli:P32669,no_exact_TRAIN_DEV_endpoint,matched,4,100,True
ecoli,ecoli:P32669,no_exact_TRAIN_DEV_endpoint,all_U,4,200,True
ecoli,ecoli:P32669,no_exact_any_model_TRAIN_DEV_endpoint,background,4,100,True
ecoli,ecoli:P32669,no_exact_any_model_TRAIN_DEV_endpoint,matched,4,100,True
ecoli,ecoli:P32669,no_exact_any_model_TRAIN_DEV_endpoint,all_U,4,200,True
ecoli,ecoli:P69222,all,background,3,100,True
ecoli,ecoli:P69222,all,matched,3,100,True
ecoli,ecoli:P69222,all,all_U,3,200,True
ecoli,ecoli:P69222,no_exact_TRAIN_DEV_endpoint,background,3,100,True
ecoli,ecoli:P69222,no_exact_TRAIN_DEV_endpoint,matched,3,100,True
ecoli,ecoli:P69222,no_exact_TRAIN_DEV_endpoint,all_U,3,200,True
ecoli,ecoli:P69222,no_exact_any_model_TRAIN_DEV_endpoint,background,3,100,True
ecoli,ecoli:P69222,no_exact_any_model_TRAIN_DEV_endpoint,matched,3,100,True
ecoli,ecoli:P69222,no_exact_any_model_TRAIN_DEV_endpoint,all_U,3,200,True
ecoli,ecoli:P0A6E6,all,background,3,100,True
ecoli,ecoli:P0A6E6,all,matched,3,100,True
ecoli,ecoli:P0A6E6,all,all_U,3,200,True
ecoli,ecoli:P0A6E6,no_exact_TRAIN_DEV_endpoint,background,3,100,True
ecoli,ecoli:P0A6E6,no_exact_TRAIN_DEV_endpoint,matched,3,100,True
ecoli,ecoli:P0A6E6,no_exact_TRAIN_DEV_endpoint,all_U,3,200,True
ecoli,ecoli:P0A6E6,no_exact_any_model_TRAIN_DEV_endpoint,background,3,100,True
ecoli,ecoli:P0A6E6,no_exact_any_model_TRAIN_DEV_endpoint,matched,3,100,True
ecoli,ecoli:P0A6E6,no_exact_any_model_TRAIN_DEV_endpoint,all_U,3,200,True
ecoli,ecoli:P39265,all,background,2,100,True
ecoli,ecoli:P39265,all,matched,2,100,True
ecoli,ecoli:P39265,all,all_U,2,200,True
ecoli,ecoli:P39265,no_exact_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P39265,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P39265,no_exact_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P39265,no_exact_any_model_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P39265,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P39265,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P63284,all,background,2,100,True
ecoli,ecoli:P63284,all,matched,2,100,True
ecoli,ecoli:P63284,all,all_U,2,200,True
ecoli,ecoli:P63284,no_exact_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P63284,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P63284,no_exact_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P63284,no_exact_any_model_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P63284,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P63284,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P0A6T3,all,background,4,100,True
ecoli,ecoli:P0A6T3,all,matched,4,100,True
ecoli,ecoli:P0A6T3,all,all_U,4,200,True
ecoli,ecoli:P0A6T3,no_exact_TRAIN_DEV_endpoint,background,4,100,True
ecoli,ecoli:P0A6T3,no_exact_TRAIN_DEV_endpoint,matched,4,100,True
ecoli,ecoli:P0A6T3,no_exact_TRAIN_DEV_endpoint,all_U,4,200,True
ecoli,ecoli:P0A6T3,no_exact_any_model_TRAIN_DEV_endpoint,background,4,100,True
ecoli,ecoli:P0A6T3,no_exact_any_model_TRAIN_DEV_endpoint,matched,4,100,True
ecoli,ecoli:P0A6T3,no_exact_any_model_TRAIN_DEV_endpoint,all_U,4,200,True
ecoli,ecoli:P0A9I3,all,background,3,100,True
ecoli,ecoli:P0A9I3,all,matched,3,100,True
ecoli,ecoli:P0A9I3,all,all_U,3,200,True
ecoli,ecoli:P0A9I3,no_exact_TRAIN_DEV_endpoint,background,3,100,True
ecoli,ecoli:P0A9I3,no_exact_TRAIN_DEV_endpoint,matched,3,100,True
ecoli,ecoli:P0A9I3,no_exact_TRAIN_DEV_endpoint,all_U,3,200,True
ecoli,ecoli:P0A9I3,no_exact_any_model_TRAIN_DEV_endpoint,background,3,100,True
ecoli,ecoli:P0A9I3,no_exact_any_model_TRAIN_DEV_endpoint,matched,3,100,True
ecoli,ecoli:P0A9I3,no_exact_any_model_TRAIN_DEV_endpoint,all_U,3,200,True
ecoli,ecoli:P75864,all,background,4,100,True
ecoli,ecoli:P75864,all,matched,4,100,True
ecoli,ecoli:P75864,all,all_U,4,200,True
ecoli,ecoli:P75864,no_exact_TRAIN_DEV_endpoint,background,4,100,True
ecoli,ecoli:P75864,no_exact_TRAIN_DEV_endpoint,matched,4,100,True
ecoli,ecoli:P75864,no_exact_TRAIN_DEV_endpoint,all_U,4,200,True
ecoli,ecoli:P75864,no_exact_any_model_TRAIN_DEV_endpoint,background,4,100,True
ecoli,ecoli:P75864,no_exact_any_model_TRAIN_DEV_endpoint,matched,4,100,True
ecoli,ecoli:P75864,no_exact_any_model_TRAIN_DEV_endpoint,all_U,4,200,True
ecoli,ecoli:P64559,all,background,2,100,True
ecoli,ecoli:P64559,all,matched,2,100,True
ecoli,ecoli:P64559,all,all_U,2,200,True
ecoli,ecoli:P64559,no_exact_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P64559,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P64559,no_exact_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P64559,no_exact_any_model_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P64559,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P64559,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P0AG30,all,background,5,100,True
ecoli,ecoli:P0AG30,all,matched,5,100,True
ecoli,ecoli:P0AG30,all,all_U,5,200,True
ecoli,ecoli:P0AG30,no_exact_TRAIN_DEV_endpoint,background,5,100,True
ecoli,ecoli:P0AG30,no_exact_TRAIN_DEV_endpoint,matched,5,100,True
ecoli,ecoli:P0AG30,no_exact_TRAIN_DEV_endpoint,all_U,5,200,True
ecoli,ecoli:P0AG30,no_exact_any_model_TRAIN_DEV_endpoint,background,5,100,True
ecoli,ecoli:P0AG30,no_exact_any_model_TRAIN_DEV_endpoint,matched,5,100,True
ecoli,ecoli:P0AG30,no_exact_any_model_TRAIN_DEV_endpoint,all_U,5,200,True
ecoli,ecoli:P18811,all,background,3,100,True
ecoli,ecoli:P18811,all,matched,3,100,True
ecoli,ecoli:P18811,all,all_U,3,200,True
ecoli,ecoli:P18811,no_exact_TRAIN_DEV_endpoint,background,3,100,True
ecoli,ecoli:P18811,no_exact_TRAIN_DEV_endpoint,matched,3,100,True
ecoli,ecoli:P18811,no_exact_TRAIN_DEV_endpoint,all_U,3,200,True
ecoli,ecoli:P18811,no_exact_any_model_TRAIN_DEV_endpoint,background,3,100,True
ecoli,ecoli:P18811,no_exact_any_model_TRAIN_DEV_endpoint,matched,3,100,True
ecoli,ecoli:P18811,no_exact_any_model_TRAIN_DEV_endpoint,all_U,3,200,True
ecoli,ecoli:P08839,all,background,2,100,True
ecoli,ecoli:P08839,all,matched,2,100,True
ecoli,ecoli:P08839,all,all_U,2,200,True
ecoli,ecoli:P08839,no_exact_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P08839,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P08839,no_exact_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P08839,no_exact_any_model_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P08839,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P08839,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P17115,all,background,2,100,True
ecoli,ecoli:P17115,all,matched,2,100,True
ecoli,ecoli:P17115,all,all_U,2,200,True
ecoli,ecoli:P17115,no_exact_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P17115,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P17115,no_exact_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P17115,no_exact_any_model_TRAIN_DEV_endpoint,background,2,100,True
ecoli,ecoli:P17115,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
ecoli,ecoli:P17115,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,200,True
ecoli,ecoli:P37640,all,background,3,100,True
ecoli,ecoli:P37640,all,matched,3,100,True
ecoli,ecoli:P37640,all,all_U,3,200,True
ecoli,ecoli:P37640,no_exact_TRAIN_DEV_endpoint,background,3,100,True
ecoli,ecoli:P37640,no_exact_TRAIN_DEV_endpoint,matched,3,100,True
ecoli,ecoli:P37640,no_exact_TRAIN_DEV_endpoint,all_U,3,200,True
ecoli,ecoli:P37640,no_exact_any_model_TRAIN_DEV_endpoint,background,3,100,True
ecoli,ecoli:P37640,no_exact_any_model_TRAIN_DEV_endpoint,matched,3,100,True
ecoli,ecoli:P37640,no_exact_any_model_TRAIN_DEV_endpoint,all_U,3,200,True
ecoli,ecoli:P15070,all,background,10,100,True
ecoli,ecoli:P15070,all,matched,10,100,True
ecoli,ecoli:P15070,all,all_U,10,200,True
ecoli,ecoli:P15070,no_exact_TRAIN_DEV_endpoint,background,10,100,True
ecoli,ecoli:P15070,no_exact_TRAIN_DEV_endpoint,matched,10,100,True
ecoli,ecoli:P15070,no_exact_TRAIN_DEV_endpoint,all_U,10,200,True
ecoli,ecoli:P15070,no_exact_any_model_TRAIN_DEV_endpoint,background,10,100,True
ecoli,ecoli:P15070,no_exact_any_model_TRAIN_DEV_endpoint,matched,10,100,True
ecoli,ecoli:P15070,no_exact_any_model_TRAIN_DEV_endpoint,all_U,10,200,True
ecoli,ecoli:P0A8I5,all,background,4,100,True
ecoli,ecoli:P0A8I5,all,matched,4,100,True
ecoli,ecoli:P0A8I5,all,all_U,4,200,True
ecoli,ecoli:P0A8I5,no_exact_TRAIN_DEV_endpoint,background,4,100,True
ecoli,ecoli:P0A8I5,no_exact_TRAIN_DEV_endpoint,matched,4,100,True
ecoli,ecoli:P0A8I5,no_exact_TRAIN_DEV_endpoint,all_U,4,200,True
ecoli,ecoli:P0A8I5,no_exact_any_model_TRAIN_DEV_endpoint,background,4,100,True
ecoli,ecoli:P0A8I5,no_exact_any_model_TRAIN_DEV_endpoint,matched,4,100,True
