species,subset,candidate_set,metric,model_a,model_b,targets,difference_b_minus_a,ci_low,ci_high
mouse,all,matched,recall_at_10,ipin_baseline,ipin_optimized,50,0.012920634920634888,-0.06986269841269845,0.10007023809523798
mouse,all,matched,recall_at_10,ipin_baseline,tuna_retrained,50,0.06190476190476196,-0.024145238095238136,0.15224166666666664
mouse,all,matched,recall_at_10,ipin_baseline,ipin_tuna_31k,50,0.042333333333333334,-0.05452976190476185,0.13752380952380955
mouse,all,matched,recall_at_10,ipin_optimized,tuna_retrained,50,0.048984126984127074,-0.05901666666666661,0.15223809523809517
mouse,all,matched,recall_at_10,ipin_optimized,ipin_tuna_31k,50,0.029412698412698446,-0.08273214285714289,0.13785714285714282
mouse,all,matched,recall_at_10,tuna_retrained,ipin_tuna_31k,50,-0.01957142857142863,-0.0966190476190476,0.0560488095238095
mouse,all,matched,NDCG_at_10,ipin_baseline,ipin_optimized,50,-0.014880365001911366,-0.06467548687835417,0.033013758927346884
mouse,all,matched,NDCG_at_10,ipin_baseline,tuna_retrained,50,0.030228223194089077,-0.04319891045238231,0.10031553869297721
mouse,all,matched,NDCG_at_10,ipin_baseline,ipin_tuna_31k,50,0.02046848936643625,-0.06274518341234842,0.10305633861494795
mouse,all,matched,NDCG_at_10,ipin_optimized,tuna_retrained,50,0.04510858819600044,-0.02002351631538872,0.10915987878662696
mouse,all,matched,NDCG_at_10,ipin_optimized,ipin_tuna_31k,50,0.035348854368347615,-0.04392905415007683,0.11644679856855379
mouse,all,matched,NDCG_at_10,tuna_retrained,ipin_tuna_31k,50,-0.009759733827652828,-0.07869459088980173,0.05598071570941715
mouse,all,all_U,P_vs_U_concordance,ipin_baseline,ipin_optimized,50,-0.014594087301587622,-0.050024097222222244,0.019516204365079254
mouse,all,all_U,P_vs_U_concordance,ipin_baseline,tuna_retrained,50,-0.02271257936507942,-0.06054594444444463,0.013104496031745867
mouse,all,all_U,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,50,0.02754976190476177,-0.00729113690476185,0.06221026984126977
mouse,all,all_U,P_vs_U_concordance,ipin_optimized,tuna_retrained,50,-0.0081184920634918,-0.043028825396825635,0.026493972222222127
mouse,all,all_U,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,50,0.04214384920634939,-0.0015573412698411454,0.08692598908730138
mouse,all,all_U,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,50,0.05026234126984119,0.010085773809524004,0.09490124305555553
mouse,all,all_U,average_precision,ipin_baseline,ipin_optimized,50,-0.02449952785196735,-0.056437873932965295,0.003269757119497705
mouse,all,all_U,average_precision,ipin_baseline,tuna_retrained,50,-0.008093252345971497,-0.05518926475491061,0.035617165046929855
mouse,all,all_U,average_precision,ipin_baseline,ipin_tuna_31k,50,-0.017795631961341235,-0.07257138855179825,0.03327202272310593
mouse,all,all_U,average_precision,ipin_optimized,tuna_retrained,50,0.016406275505995854,-0.01544902769507492,0.050401096040703974
mouse,all,all_U,average_precision,ipin_optimized,ipin_tuna_31k,50,0.006703895890626116,-0.03817507669634096,0.04920849755991122
mouse,all,all_U,average_precision,tuna_retrained,ipin_tuna_31k,50,-0.009702379615369738,-0.05348031606906313,0.03160572538025141
mouse,all,all_U,reciprocal_rank,ipin_baseline,ipin_optimized,50,-0.0504803105587836,-0.11610604588915568,0.004729902419241956
mouse,all,all_U,reciprocal_rank,ipin_baseline,tuna_retrained,50,-0.013983904033059047,-0.10722648021320008,0.07526173807546854
mouse,all,all_U,reciprocal_rank,ipin_baseline,ipin_tuna_31k,50,-0.013640672884271815,-0.12215480610164468,0.0943993533154145
mouse,all,all_U,reciprocal_rank,ipin_optimized,tuna_retrained,50,0.036496406525724556,-0.017792835211402933,0.09882001262852252
mouse,all,all_U,reciprocal_rank,ipin_optimized,ipin_tuna_31k,50,0.03683963767451179,-0.04470727055927029,0.12014620237255856
mouse,all,all_U,reciprocal_rank,tuna_retrained,ipin_tuna_31k,50,0.00034323114878723193,-0.09112565184038654,0.0915999694742975
mouse,all,all_U,recall_at_10,ipin_baseline,ipin_optimized,50,0.022857142857142854,-0.03066666666666666,0.07800238095238093
mouse,all,all_U,recall_at_10,ipin_baseline,tuna_retrained,50,0.028095238095238118,-0.05505238095238094,0.11448809523809506
mouse,all,all_U,recall_at_10,ipin_baseline,ipin_tuna_31k,50,0.00990476190476186,-0.06677142857142858,0.08666666666666667
mouse,all,all_U,recall_at_10,ipin_optimized,tuna_retrained,50,0.005238095238095264,-0.08599999999999997,0.09247857142857141
mouse,all,all_U,recall_at_10,ipin_optimized,ipin_tuna_31k,50,-0.012952380952380993,-0.0987690476190476,0.07133571428571428
mouse,all,all_U,recall_at_10,tuna_retrained,ipin_tuna_31k,50,-0.018190476190476257,-0.09581190476190479,0.05647857142857138
mouse,all,all_U,NDCG_at_10,ipin_baseline,ipin_optimized,50,-0.015515071729624783,-0.052791001985302774,0.019038153598209324
mouse,all,all_U,NDCG_at_10,ipin_baseline,tuna_retrained,50,0.00020915438894994476,-0.0640027610177297,0.06047138458525178
mouse,all,all_U,NDCG_at_10,ipin_baseline,ipin_tuna_31k,50,-0.014905309758342339,-0.08407280632588426,0.05066344341582093
mouse,all,all_U,NDCG_at_10,ipin_optimized,tuna_retrained,50,0.015724226118574727,-0.03605605275770168,0.06585585846450899
mouse,all,all_U,NDCG_at_10,ipin_optimized,ipin_tuna_31k,50,0.0006097619712824437,-0.05956373003394551,0.059633661708802625
mouse,all,all_U,NDCG_at_10,tuna_retrained,ipin_tuna_31k,50,-0.015114464147292284,-0.06873289019707281,0.037756715853948845
mouse,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,ipin_baseline,ipin_optimized,47,-0.021385642300898344,-0.05692445102838768,0.01169497938646341
mouse,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,ipin_baseline,tuna_retrained,47,-0.030213518831444852,-0.06940937771593719,0.007393548283909976
mouse,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,47,0.02036991294866397,-0.015873635048550886,0.05561137696930651
mouse,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,ipin_optimized,tuna_retrained,47,-0.008827876530546508,-0.04688111645905163,0.02905144816475239
mouse,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,47,0.041755555249562315,-0.004490041042438747,0.08909758478685402
mouse,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,47,0.05058343178010882,0.007522824060109576,0.09873188086092352
mouse,no_exact_TRAIN_DEV_endpoint,background,average_precision,ipin_baseline,ipin_optimized,47,-0.02468198524066398,-0.07155728573560485,0.016973848462846497
mouse,no_exact_TRAIN_DEV_endpoint,background,average_precision,ipin_baseline,tuna_retrained,47,-0.005637022237532097,-0.06923152006701747,0.04759570137767613
mouse,no_exact_TRAIN_DEV_endpoint,background,average_precision,ipin_baseline,ipin_tuna_31k,47,-0.002325259839025068,-0.07276738961273065,0.06195078478644331
mouse,no_exact_TRAIN_DEV_endpoint,background,average_precision,ipin_optimized,tuna_retrained,47,0.01904496300313188,-0.017050279464371786,0.05527879091344976
mouse,no_exact_TRAIN_DEV_endpoint,background,average_precision,ipin_optimized,ipin_tuna_31k,47,0.02235672540163891,-0.029768650336441393,0.07494908513423938
mouse,no_exact_TRAIN_DEV_endpoint,background,average_precision,tuna_retrained,ipin_tuna_31k,47,0.003311762398507029,-0.03810427035786229,0.04558228977618069
mouse,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,ipin_baseline,ipin_optimized,47,-0.0010465806526319121,-0.07199792975227236,0.07445100348578391
mouse,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,ipin_baseline,tuna_retrained,47,0.015601038770401476,-0.07938904585412639,0.10686888791072305
mouse,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,ipin_baseline,ipin_tuna_31k,47,0.027105227736993753,-0.09075676909593813,0.1413375146383839
mouse,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,ipin_optimized,tuna_retrained,47,0.01664761942303339,-0.03945068696552881,0.07500722300602998
mouse,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,ipin_optimized,ipin_tuna_31k,47,0.028151808389625665,-0.06252338850547995,0.12120067362534286
mouse,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,tuna_retrained,ipin_tuna_31k,47,0.011504188966592277,-0.07358021652251,0.09814842946524878
mouse,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,ipin_baseline,ipin_optimized,47,-0.025531914893617058,-0.12026595744680846,0.07041540020263426
mouse,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,ipin_baseline,tuna_retrained,47,0.09380276933468418,-0.007583586626139761,0.1949037487335359
mouse,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,ipin_baseline,ipin_tuna_31k,47,0.08787571766295171,0.010131712259371872,0.16975768321513007
mouse,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,ipin_optimized,tuna_retrained,47,0.11933468422830124,0.007778622087132647,0.2317983789260385
mouse,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,ipin_optimized,ipin_tuna_31k,47,0.11340763255656877,0.0039834515366430024,0.22566953731847353
mouse,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,tuna_retrained,ipin_tuna_31k,47,-0.005927051671732464,-0.10607902735562308,0.0930116514690983
mouse,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,ipin_baseline,ipin_optimized,47,-0.02068450315698378,-0.07826020942152752,0.037095311351546194
mouse,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,ipin_baseline,tuna_retrained,47,0.03531823660946071,-0.04476209706716134,0.10689122216293505
mouse,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,ipin_baseline,ipin_tuna_31k,47,0.031044181455090053,-0.04630423712720583,0.10549681737250267
mouse,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,ipin_optimized,tuna_retrained,47,0.05600273976644449,-0.003349153046783046,0.11359199739863572
mouse,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,ipin_optimized,ipin_tuna_31k,47,0.05172868461207383,-0.021346952128069023,0.12585302674137241
mouse,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,tuna_retrained,ipin_tuna_31k,47,-0.004274055154370654,-0.06212386624109778,0.05428973797338555
mouse,no_exact_TRAIN_DEV_endpoint,matched,P_vs_U_concordance,ipin_baseline,ipin_optimized,47,-0.010651694629222441,-0.04966324405996831,0.026642360962493235
mouse,no_exact_TRAIN_DEV_endpoint,matched,P_vs_U_concordance,ipin_baseline,tuna_retrained,47,-0.006670907750765842,-0.043229147380789965,0.028389988538822606
mouse,no_exact_TRAIN_DEV_endpoint,matched,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,47,0.03400742160611203,-0.0030732366901413195,0.07221890257194324
mouse,no_exact_TRAIN_DEV_endpoint,matched,P_vs_U_concordance,ipin_optimized,tuna_retrained,47,0.003980786878456599,-0.03268510675417688,0.04003265870452276
mouse,no_exact_TRAIN_DEV_endpoint,matched,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,47,0.04465911623533447,-0.004597379544003018,0.09671457391292645
mouse,no_exact_TRAIN_DEV_endpoint,matched,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,47,0.040678329356877874,-0.0019836536428656424,0.08878286534758317
mouse,no_exact_TRAIN_DEV_endpoint,matched,average_precision,ipin_baseline,ipin_optimized,47,-0.01639836938643946,-0.058224716686096294,0.02016344027058972
mouse,no_exact_TRAIN_DEV_endpoint,matched,average_precision,ipin_baseline,tuna_retrained,47,0.02355097661851338,-0.03505490369970928,0.07671397810728484
mouse,no_exact_TRAIN_DEV_endpoint,matched,average_precision,ipin_baseline,ipin_tuna_31k,47,0.020150856469159817,-0.05367299089737442,0.08738654522901275
