species,subset,candidate_set,reference_model,model,metric,targets,wins,ties,losses
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,26,0,24
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_optimized,ipin_tuna_31k,average_precision,50,23,0,27
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_optimized,ipin_tuna_31k,recall_at_10,50,17,18,15
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,matched,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,21,1,28
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,matched,tuna_retrained,ipin_tuna_31k,average_precision,50,25,0,25
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,matched,tuna_retrained,ipin_tuna_31k,recall_at_10,50,9,27,14
ecoli,all,all_U,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,23,0,27
ecoli,all,all_U,ipin_baseline,ipin_tuna_31k,average_precision,50,27,0,23
ecoli,all,all_U,ipin_baseline,ipin_tuna_31k,recall_at_10,50,11,32,7
ecoli,all,all_U,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,20,0,30
ecoli,all,all_U,ipin_optimized,ipin_tuna_31k,average_precision,50,25,0,25
ecoli,all,all_U,ipin_optimized,ipin_tuna_31k,recall_at_10,50,9,36,5
ecoli,all,all_U,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,26,0,24
ecoli,all,all_U,tuna_retrained,ipin_tuna_31k,average_precision,50,31,0,19
ecoli,all,all_U,tuna_retrained,ipin_tuna_31k,recall_at_10,50,14,33,3
ecoli,all,background,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,26,1,23
ecoli,all,background,ipin_baseline,ipin_tuna_31k,average_precision,50,27,0,23
ecoli,all,background,ipin_baseline,ipin_tuna_31k,recall_at_10,50,12,30,8
ecoli,all,background,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,21,0,29
