species,subset,candidate_set,metric,model,targets,estimate,ci_low,ci_high
mouse,all,all_U,NDCG_at_10,tuna_retrained,50,0.13712333529016144,0.08284484725327795,0.19754993595753786
mouse,all,all_U,NDCG_at_10,ipin_tuna_31k,50,0.12200887114286915,0.07489719125023601,0.172176995806697
mouse,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,ipin_baseline,47,0.7521601808811984,0.7006870254744267,0.8025470223662622
mouse,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,ipin_optimized,47,0.7307745385803001,0.6761748483857607,0.7824281338444927
mouse,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,tuna_retrained,47,0.7219466620497536,0.6567657738457309,0.7829027909334905
mouse,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,ipin_tuna_31k,47,0.7725300938298624,0.7222134928645952,0.8198753621763529
mouse,no_exact_TRAIN_DEV_endpoint,background,average_precision,ipin_baseline,47,0.210437752629296,0.1468283069674927,0.2854984363931429
mouse,no_exact_TRAIN_DEV_endpoint,background,average_precision,ipin_optimized,47,0.18575576738863203,0.13105769024407388,0.24843104304579422
mouse,no_exact_TRAIN_DEV_endpoint,background,average_precision,tuna_retrained,47,0.2048007303917639,0.15144641718223026,0.26531556328222977
mouse,no_exact_TRAIN_DEV_endpoint,background,average_precision,ipin_tuna_31k,47,0.20811249279027094,0.15853119262487936,0.2615196870578798
mouse,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,ipin_baseline,47,0.2590974385335164,0.17014927420610415,0.3556835929882758
mouse,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,ipin_optimized,47,0.2580508578808845,0.17380097293467212,0.35259712149331573
mouse,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,tuna_retrained,47,0.2746984773039179,0.1883979938541763,0.37130082247770524
mouse,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,ipin_tuna_31k,47,0.28620266627051016,0.19843792726690362,0.38343251080375607
mouse,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,ipin_baseline,47,0.3041033434650456,0.2048087639311043,0.410943515704154
mouse,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,ipin_optimized,47,0.2785714285714285,0.18191236068895641,0.3801431104356636
mouse,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,tuna_retrained,47,0.39790611279972976,0.2970246538331645,0.5029052684903749
mouse,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,ipin_tuna_31k,47,0.3919790611279973,0.2801046943600135,0.5089332151300237
mouse,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,ipin_baseline,47,0.21595244202099406,0.1365262323157408,0.3028099725611007
mouse,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,ipin_optimized,47,0.19526793886401028,0.12479950481348492,0.2730100154837136
mouse,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,tuna_retrained,47,0.25127067863045477,0.18174161387546395,0.32488980729941663
mouse,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,ipin_tuna_31k,47,0.24699662347608412,0.1755730987478592,0.321453671271653
mouse,no_exact_TRAIN_DEV_endpoint,matched,P_vs_U_concordance,ipin_baseline,47,0.7238184009137469,0.6710528500299531,0.7741387972325295
mouse,no_exact_TRAIN_DEV_endpoint,matched,P_vs_U_concordance,ipin_optimized,47,0.7131667062845245,0.6598797025100152,0.7643738624810867
mouse,no_exact_TRAIN_DEV_endpoint,matched,P_vs_U_concordance,tuna_retrained,47,0.7171474931629811,0.6545849815480079,0.7753477323429177
mouse,no_exact_TRAIN_DEV_endpoint,matched,P_vs_U_concordance,ipin_tuna_31k,47,0.757825822519859,0.7131316024705949,0.800386310829489
mouse,no_exact_TRAIN_DEV_endpoint,matched,average_precision,ipin_baseline,47,0.17783068471109334,0.12035179050547566,0.24626896957602892
mouse,no_exact_TRAIN_DEV_endpoint,matched,average_precision,ipin_optimized,47,0.16143231532465388,0.11130904476358217,0.22459077351368648
mouse,no_exact_TRAIN_DEV_endpoint,matched,average_precision,tuna_retrained,47,0.20138166132960672,0.14590614938313076,0.26377593095198054
mouse,no_exact_TRAIN_DEV_endpoint,matched,average_precision,ipin_tuna_31k,47,0.19798154118025316,0.1455739994517178,0.25588652222165226
mouse,no_exact_TRAIN_DEV_endpoint,matched,reciprocal_rank,ipin_baseline,47,0.22662886144191688,0.14770645251579292,0.31630765484333956
mouse,no_exact_TRAIN_DEV_endpoint,matched,reciprocal_rank,ipin_optimized,47,0.19802379603934114,0.13259515172146666,0.2732704378087705
mouse,no_exact_TRAIN_DEV_endpoint,matched,reciprocal_rank,tuna_retrained,47,0.2755631477851327,0.18600598050710468,0.37429416775286384
mouse,no_exact_TRAIN_DEV_endpoint,matched,reciprocal_rank,ipin_tuna_31k,47,0.296083984213371,0.19853494190310958,0.40382408749722526
mouse,no_exact_TRAIN_DEV_endpoint,matched,recall_at_10,ipin_baseline,47,0.24007092198581556,0.15602710233029382,0.3318173758865248
mouse,no_exact_TRAIN_DEV_endpoint,matched,recall_at_10,ipin_optimized,47,0.26681864235055724,0.16823454913880448,0.3723429584599798
mouse,no_exact_TRAIN_DEV_endpoint,matched,recall_at_10,tuna_retrained,47,0.36822019587977034,0.26119300911854104,0.47872340425531906
mouse,no_exact_TRAIN_DEV_endpoint,matched,recall_at_10,ipin_tuna_31k,47,0.2907801418439716,0.19959346504559267,0.388506838905775
mouse,no_exact_TRAIN_DEV_endpoint,matched,NDCG_at_10,ipin_baseline,47,0.17385447474016422,0.10435334145637953,0.253201390284469
mouse,no_exact_TRAIN_DEV_endpoint,matched,NDCG_at_10,ipin_optimized,47,0.1692389701566368,0.10486919054896175,0.24147473071613484
mouse,no_exact_TRAIN_DEV_endpoint,matched,NDCG_at_10,tuna_retrained,47,0.23708203527257155,0.16353465065169132,0.3165565185720718
mouse,no_exact_TRAIN_DEV_endpoint,matched,NDCG_at_10,ipin_tuna_31k,47,0.2152009438835577,0.14209928003407937,0.29309607131929916
mouse,no_exact_TRAIN_DEV_endpoint,all_U,P_vs_U_concordance,ipin_baseline,47,0.7379578921139921,0.6865723681496763,0.7883246271763754
mouse,no_exact_TRAIN_DEV_endpoint,all_U,P_vs_U_concordance,ipin_optimized,47,0.7220323924188301,0.6695018214289635,0.7733386975864917
mouse,no_exact_TRAIN_DEV_endpoint,all_U,P_vs_U_concordance,tuna_retrained,47,0.7195831072493807,0.6563785352424609,0.7806306176691755
mouse,no_exact_TRAIN_DEV_endpoint,all_U,P_vs_U_concordance,ipin_tuna_31k,47,0.7652017760313649,0.7194768804056922,0.8103715056294559
mouse,no_exact_TRAIN_DEV_endpoint,all_U,average_precision,ipin_baseline,47,0.13546255251022177,0.08024906064855221,0.20382442760341082
mouse,no_exact_TRAIN_DEV_endpoint,all_U,average_precision,ipin_optimized,47,0.11197935851865742,0.06656819241557932,0.1716621453439426
mouse,no_exact_TRAIN_DEV_endpoint,all_U,average_precision,tuna_retrained,47,0.13396346509419044,0.08772687733111055,0.19195114007424643
mouse,no_exact_TRAIN_DEV_endpoint,all_U,average_precision,ipin_tuna_31k,47,0.12192072489858716,0.0874055917467617,0.16116510994004957
mouse,no_exact_TRAIN_DEV_endpoint,all_U,reciprocal_rank,ipin_baseline,47,0.1768759284741703,0.10041380348817262,0.26818028319403286
mouse,no_exact_TRAIN_DEV_endpoint,all_U,reciprocal_rank,ipin_optimized,47,0.1520884556494378,0.08827034586603086,0.22871883305303456
mouse,no_exact_TRAIN_DEV_endpoint,all_U,reciprocal_rank,tuna_retrained,47,0.19391046467117679,0.11549514018595174,0.2835237043217316
mouse,no_exact_TRAIN_DEV_endpoint,all_U,reciprocal_rank,ipin_tuna_31k,47,0.19595079808855523,0.12256034874344428,0.2845793553223648
mouse,no_exact_TRAIN_DEV_endpoint,all_U,recall_at_10,ipin_baseline,47,0.16484295845997973,0.08955927051671732,0.25126899696048627
mouse,no_exact_TRAIN_DEV_endpoint,all_U,recall_at_10,ipin_optimized,47,0.185612968591692,0.10425531914893618,0.2781180344478216
mouse,no_exact_TRAIN_DEV_endpoint,all_U,recall_at_10,tuna_retrained,47,0.20607902735562308,0.12563323201621074,0.29372593718338397
mouse,no_exact_TRAIN_DEV_endpoint,all_U,recall_at_10,ipin_tuna_31k,47,0.15977710233029382,0.09240121580547114,0.2342451874366768
mouse,no_exact_TRAIN_DEV_endpoint,all_U,NDCG_at_10,ipin_baseline,47,0.1280845844656383,0.06331792877829717,0.2048472110069277
mouse,no_exact_TRAIN_DEV_endpoint,all_U,NDCG_at_10,ipin_optimized,47,0.1171012369953713,0.061205787041577364,0.18580969124943103
mouse,no_exact_TRAIN_DEV_endpoint,all_U,NDCG_at_10,tuna_retrained,47,0.14272769564549412,0.08388281583605961,0.20925581811408886
mouse,no_exact_TRAIN_DEV_endpoint,all_U,NDCG_at_10,ipin_tuna_31k,47,0.11807435095266611,0.06861709251294308,0.17404643710828052
fly,all,background,P_vs_U_concordance,ipin_baseline,50,0.6455017460317459,0.5982533591269842,0.6905439404761905
fly,all,background,P_vs_U_concordance,ipin_optimized,50,0.6281219841269842,0.5823183492063492,0.6726387976190475
fly,all,background,P_vs_U_concordance,tuna_retrained,50,0.6752509523809523,0.6307892142857144,0.7176687619047619
fly,all,background,P_vs_U_concordance,ipin_tuna_31k,50,0.6710380158730159,0.6265045515873015,0.7134982242063491
fly,all,background,average_precision,ipin_baseline,50,0.1615448996877427,0.1286118819914547,0.19702097686956563
fly,all,background,average_precision,ipin_optimized,50,0.18260751371404557,0.14242546020422867,0.22483245228505963
fly,all,background,average_precision,tuna_retrained,50,0.20536426940722735,0.159310664556309,0.2530639293733411
fly,all,background,average_precision,ipin_tuna_31k,50,0.19843124002505402,0.15776499575646097,0.24112625450403874
fly,all,background,reciprocal_rank,ipin_baseline,50,0.3010239538887707,0.21523720143801992,0.3947933372664919
fly,all,background,reciprocal_rank,ipin_optimized,50,0.37284981136665896,0.2687048045419633,0.4826171879337082
fly,all,background,reciprocal_rank,tuna_retrained,50,0.37033610039385906,0.2722292508281948,0.47403806293562745
fly,all,background,reciprocal_rank,ipin_tuna_31k,50,0.34401727926070036,0.2533839689002518,0.44266604342295124
fly,all,background,recall_at_10,ipin_baseline,50,0.1801031746031746,0.12421170634920635,0.24335773809523809
fly,all,background,recall_at_10,ipin_optimized,50,0.23201587301587304,0.1644815476190476,0.30276210317460317
fly,all,background,recall_at_10,tuna_retrained,50,0.20834920634920637,0.1539670634920635,0.2649555555555555
fly,all,background,recall_at_10,ipin_tuna_31k,50,0.2346825396825397,0.17368988095238094,0.29862142857142854
fly,all,background,NDCG_at_10,ipin_baseline,50,0.15386656374870966,0.10896858024853492,0.20176731285113897
fly,all,background,NDCG_at_10,ipin_optimized,50,0.20110574719493404,0.14318248529221603,0.2604174238506642
fly,all,background,NDCG_at_10,tuna_retrained,50,0.20484069714762987,0.1474336954473943,0.26449966619738563
fly,all,background,NDCG_at_10,ipin_tuna_31k,50,0.20704673408286303,0.15464930668997573,0.26139362647101394
fly,all,matched,P_vs_U_concordance,ipin_baseline,50,0.6435919047619048,0.5966563492063492,0.6900722698412697
fly,all,matched,P_vs_U_concordance,ipin_optimized,50,0.6292295238095238,0.5827721666666666,0.6742219682539683
fly,all,matched,P_vs_U_concordance,tuna_retrained,50,0.678287380952381,0.6320916746031746,0.7210380257936508
fly,all,matched,P_vs_U_concordance,ipin_tuna_31k,50,0.672196507936508,0.6323658670634922,0.7112376924603173
fly,all,matched,average_precision,ipin_baseline,50,0.1592575599270605,0.12737932608170763,0.191397399040324
fly,all,matched,average_precision,ipin_optimized,50,0.17324055657837703,0.1363972134421337,0.2103688896451233
fly,all,matched,average_precision,tuna_retrained,50,0.2110734186355022,0.16638761759070653,0.2590003648276798
fly,all,matched,average_precision,ipin_tuna_31k,50,0.18700965805090658,0.15169758674522457,0.22434171469510017
fly,all,matched,reciprocal_rank,ipin_baseline,50,0.29953759649677336,0.20790893275545821,0.39528303806929466
fly,all,matched,reciprocal_rank,ipin_optimized,50,0.337281618123711,0.24066458989728284,0.43806265989817955
fly,all,matched,reciprocal_rank,tuna_retrained,50,0.432449209006902,0.3210381302168112,0.5470916020938986
fly,all,matched,reciprocal_rank,ipin_tuna_31k,50,0.3690615014070896,0.26469721587644385,0.47899550755616915
fly,all,matched,recall_at_10,ipin_baseline,50,0.1589920634920635,0.10683253968253968,0.21796825396825398
fly,all,matched,recall_at_10,ipin_optimized,50,0.19080158730158728,0.13357936507936508,0.2525041666666666
fly,all,matched,recall_at_10,tuna_retrained,50,0.2154047619047619,0.16404662698412698,0.26904265873015865
fly,all,matched,recall_at_10,ipin_tuna_31k,50,0.23518253968253966,0.1765793650793651,0.2989303571428571
fly,all,matched,NDCG_at_10,ipin_baseline,50,0.14339568825135934,0.09961016984503536,0.18822525534348808
fly,all,matched,NDCG_at_10,ipin_optimized,50,0.17403987065195006,0.122250673642161,0.22626416989716902
fly,all,matched,NDCG_at_10,tuna_retrained,50,0.21500840679560845,0.16054332404815025,0.27194057774176417
fly,all,matched,NDCG_at_10,ipin_tuna_31k,50,0.19998629240500498,0.15146656091882588,0.24864820904134555
fly,all,all_U,P_vs_U_concordance,ipin_baseline,50,0.6445468253968255,0.5978349444444445,0.6893365952380953
fly,all,all_U,P_vs_U_concordance,ipin_optimized,50,0.628675753968254,0.5837232628968255,0.6724583541666667
fly,all,all_U,P_vs_U_concordance,tuna_retrained,50,0.6767691666666668,0.6328031726190476,0.7182743958333335
fly,all,all_U,P_vs_U_concordance,ipin_tuna_31k,50,0.671617261904762,0.6307488621031745,0.7122648234126985
fly,all,all_U,average_precision,ipin_baseline,50,0.09359825273498355,0.07310153940715475,0.11526999081169685
fly,all,all_U,average_precision,ipin_optimized,50,0.11089523410752211,0.08526938312128189,0.1381224704701094
fly,all,all_U,average_precision,tuna_retrained,50,0.13758757222889675,0.10117756893051755,0.1779308941250499
fly,all,all_U,average_precision,ipin_tuna_31k,50,0.12034274043524923,0.09291899735312281,0.1506735056231714
fly,all,all_U,reciprocal_rank,ipin_baseline,50,0.19641358118601798,0.1306172885691105,0.26992566844476695
fly,all,all_U,reciprocal_rank,ipin_optimized,50,0.2818547659772972,0.1845634473757556,0.3857588658204193
fly,all,all_U,reciprocal_rank,tuna_retrained,50,0.3110810924939926,0.21223977410523354,0.41657980368185626
