target,positive_subset,candidate_set,reference_model,P,U,reference_P_vs_U_concordance,selected_31k_P_vs_U_concordance,delta_P_vs_U_concordance,reference_average_precision,selected_31k_average_precision,delta_average_precision,reference_reciprocal_rank,selected_31k_reciprocal_rank,delta_reciprocal_rank,reference_recovered_P_at_5,selected_31k_recovered_P_at_5,delta_recovered_P_at_5,reference_recovered_P_at_10,selected_31k_recovered_P_at_10,delta_recovered_P_at_10,reference_recovered_P_at_20,selected_31k_recovered_P_at_20,delta_recovered_P_at_20
TP53,exclude_development_P,context,tuna_retrained,3,150,0.7555555555555555,0.9622222222222222,0.20666666666666667,0.050555131790829724,0.3625,0.3119448682091703,0.043478260869565216,0.5,0.4565217391304348,0.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0
EGFR,exclude_development_P,context,tuna_retrained,3,150,0.7777777777777778,0.9955555555555555,0.21777777777777774,0.07676256972031618,0.8666666666666666,0.7899040969463504,0.1111111111111111,1.0,0.8888888888888888,0.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0
BCL2,exclude_development_P,context,tuna_retrained,3,150,0.8844444444444445,0.7844444444444445,-0.09999999999999998,0.15108225108225107,0.20417482061317677,0.0530925695309257,0.2,0.5,0.3,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,-1.0
KEAP1,exclude_development_P,context,tuna_retrained,2,150,0.23666666666666666,0.67,0.43333333333333335,0.012742175856929955,0.03137065637065637,0.018628480513726415,0.00909090909090909,0.03571428571428571,0.026623376623376622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRCA1,exclude_development_P,context,tuna_retrained,3,150,0.9422222222222222,0.6777777777777778,-0.26444444444444437,0.43977591036414565,0.3554527664116705,-0.08432314395247514,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,-2.0
KRAS,exclude_development_P,context,tuna_retrained,3,150,0.8577777777777778,0.84,-0.01777777777777778,0.08309806135893091,0.07647757647757647,-0.006620484881354444,0.07142857142857142,0.07692307692307693,0.005494505494505503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CDK2,exclude_development_P,context,tuna_retrained,3,150,0.9044444444444445,0.8288888888888889,-0.0755555555555556,0.15674603174603174,0.06956670956670957,-0.08717932217932217,0.25,0.047619047619047616,-0.20238095238095238,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0
HIF1A,exclude_development_P,context,tuna_retrained,3,150,0.6377777777777778,0.9333333333333333,0.29555555555555557,0.08678809774700186,0.31226053639846746,0.2254724386514656,0.2,0.3333333333333333,0.1333333333333333,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
CTNNB1,exclude_development_P,context,tuna_retrained,3,150,0.6022222222222222,0.78,0.1777777777777778,0.039266579018052784,0.10317460317460317,0.06390802415655039,0.058823529411764705,0.2,0.1411764705882353,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
TNFRSF1A,exclude_development_P,context,tuna_retrained,3,150,0.5,0.7266666666666667,0.22666666666666668,0.09852890865549092,0.1660280970625798,0.06749918840708886,0.25,0.25,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0
BECN1,exclude_development_P,context,tuna_retrained,3,150,0.8622222222222222,0.9088888888888889,0.046666666666666634,0.5158730158730158,0.17114695340501793,-0.34472606246799786,1.0,0.25,-0.75,2.0,1.0,-1.0,2.0,1.0,-1.0,2.0,2.0,0.0
ERN1,exclude_development_P,context,tuna_original,4,200,0.5975,0.78625,0.18874999999999997,0.2703113553113553,0.13554376657824932,-0.134767588733106,1.0,0.2,-0.8,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0
TP53,exclude_development_P,context,tuna_original,3,150,0.7844444444444445,0.9622222222222222,0.1777777777777777,0.06659234485321441,0.3625,0.2959076551467856,0.06666666666666667,0.5,0.43333333333333335,0.0,2.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0
EGFR,exclude_development_P,context,tuna_original,3,150,0.9977777777777778,0.9955555555555555,-0.0022222222222222365,0.9166666666666666,0.8666666666666666,-0.050000000000000044,1.0,1.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0
BCL2,exclude_development_P,context,tuna_original,3,150,0.7844444444444445,0.7844444444444445,0.0,0.13092105263157894,0.20417482061317677,0.07325376798159783,0.25,0.5,0.25,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,-1.0
KEAP1,exclude_development_P,context,tuna_original,2,150,0.5133333333333333,0.67,0.15666666666666673,0.01957720588235294,0.03137065637065637,0.01179345048830343,0.015625,0.03571428571428571,0.020089285714285712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRCA1,exclude_development_P,context,tuna_original,3,150,0.9333333333333333,0.6777777777777778,-0.25555555555555554,0.18434343434343434,0.3554527664116705,0.17110933206823617,0.16666666666666666,1.0,0.8333333333333334,0.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0
KRAS,exclude_development_P,context,tuna_original,3,150,0.9511111111111111,0.84,-0.11111111111111116,0.21031746031746032,0.07647757647757647,-0.13383988383988385,0.16666666666666666,0.07692307692307693,-0.08974358974358973,0.0,0.0,0.0,2.0,0.0,-2.0,3.0,1.0,-2.0
CDK2,exclude_development_P,context,tuna_original,3,150,0.44222222222222224,0.8288888888888889,0.38666666666666666,0.02250335065869046,0.06956670956670957,0.04706335890801911,0.01818181818181818,0.047619047619047616,0.029437229437229435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIF1A,exclude_development_P,context,tuna_original,3,150,0.5866666666666667,0.9333333333333333,0.3466666666666667,0.35094032969584393,0.31226053639846746,-0.038679793297376475,1.0,0.3333333333333333,-0.6666666666666667,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
CTNNB1,exclude_development_P,context,tuna_original,3,150,0.6977777777777778,0.78,0.0822222222222222,0.04516215491825247,0.10317460317460317,0.0580124482563507,0.047619047619047616,0.2,0.1523809523809524,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
TNFRSF1A,exclude_development_P,context,tuna_original,3,150,0.48444444444444446,0.7266666666666667,0.24222222222222223,0.024513428726911875,0.1660280970625798,0.14151466833566792,0.022222222222222223,0.25,0.22777777777777777,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0
BECN1,exclude_development_P,context,tuna_original,3,150,0.8133333333333334,0.9088888888888889,0.0955555555555555,0.6781609195402298,0.17114695340501793,-0.5070139661352119,1.0,0.25,-0.75,2.0,1.0,-1.0,2.0,1.0,-1.0,2.0,2.0,0.0
ERN1,exclude_development_P,background,ipin_baseline,4,200,0.49,0.72875,0.23875000000000002,0.05840617715617715,0.15030165912518853,0.09189548196901137,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
TP53,exclude_development_P,background,ipin_baseline,3,150,0.5888888888888889,0.9977777777777778,0.40888888888888886,0.030984934336075666,0.9166666666666666,0.885681732330591,0.030303030303030304,1.0,0.9696969696969697,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0
EGFR,exclude_development_P,background,ipin_baseline,3,150,0.6466666666666666,0.9977777777777778,0.35111111111111115,0.03907998454057649,0.9166666666666666,0.8775866821260901,0.03225806451612903,1.0,0.967741935483871,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0
BCL2,exclude_development_P,background,ipin_baseline,3,150,0.9533333333333334,0.6622222222222223,-0.2911111111111111,0.26517273576097106,0.06064247921390778,-0.20453025654706328,0.3333333333333333,0.1111111111111111,-0.2222222222222222,1.0,0.0,-1.0,2.0,1.0,-1.0,3.0,1.0,-2.0
KEAP1,exclude_development_P,background,ipin_baseline,2,150,0.4666666666666667,0.7766666666666666,0.30999999999999994,0.018030303030303032,0.05600539811066127,0.037975095080358234,0.013333333333333334,0.07692307692307693,0.06358974358974359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BRCA1,exclude_development_P,background,ipin_baseline,3,150,0.7355555555555555,0.8222222222222222,0.08666666666666667,0.0699169110459433,0.3722222222222222,0.3023053111762789,0.125,1.0,0.875,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
KRAS,exclude_development_P,background,ipin_baseline,3,150,0.7622222222222222,0.8977777777777778,0.13555555555555554,0.05074786324786325,0.11189931350114415,0.061151450253280906,0.038461538461538464,0.1,0.06153846153846154,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0
CDK2,exclude_development_P,background,ipin_baseline,3,150,0.7422222222222222,0.8622222222222222,0.12,0.060072695665916,0.08543123543123543,0.025358539765319432,0.09090909090909091,0.05,-0.04090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
HIF1A,exclude_development_P,background,ipin_baseline,3,150,0.7866666666666666,0.9488888888888889,0.16222222222222227,0.07685185185185185,0.3253968253968254,0.24854497354497357,0.125,0.5,0.375,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
CTNNB1,exclude_development_P,background,ipin_baseline,3,150,0.9044444444444445,0.8022222222222222,-0.10222222222222233,0.23696969696969694,0.10512119555312556,-0.1318485014165714,0.5,0.2,-0.3,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
TNFRSF1A,exclude_development_P,background,ipin_baseline,3,150,0.6444444444444445,0.7644444444444445,0.12,0.0514041514041514,0.11392729134664618,0.06252313994249478,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0
BECN1,exclude_development_P,background,ipin_baseline,3,150,0.7577777777777778,0.8422222222222222,0.08444444444444443,0.25952380952380955,0.09675438596491226,-0.16276942355889729,0.5,0.125,-0.375,1.0,0.0,-1.0,2.0,1.0,-1.0,2.0,2.0,0.0
ERN1,exclude_development_P,background,ipin_optimized,4,200,0.52,0.72875,0.20875,0.045091070001141945,0.15030165912518853,0.10521058912404659,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
TP53,exclude_development_P,background,ipin_optimized,3,150,0.5555555555555556,0.9977777777777778,0.4422222222222222,0.027825690437954756,0.9166666666666666,0.8888409762287118,0.0196078431372549,1.0,0.9803921568627451,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0
EGFR,exclude_development_P,background,ipin_optimized,3,150,0.6,0.9977777777777778,0.3977777777777778,0.03125160078545206,0.9166666666666666,0.8854150658812145,0.018867924528301886,1.0,0.9811320754716981,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0
BCL2,exclude_development_P,background,ipin_optimized,3,150,0.9711111111111111,0.6622222222222223,-0.3088888888888889,0.3055555555555555,0.06064247921390778,-0.24491307634164775,0.25,0.1111111111111111,-0.1388888888888889,1.0,0.0,-1.0,3.0,1.0,-2.0,3.0,1.0,-2.0
KEAP1,exclude_development_P,background,ipin_optimized,2,150,0.5733333333333334,0.7766666666666666,0.20333333333333325,0.02348901098901099,0.05600539811066127,0.03251638712165028,0.025,0.07692307692307693,0.051923076923076926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BRCA1,exclude_development_P,background,ipin_optimized,3,150,0.8977777777777778,0.8222222222222222,-0.0755555555555556,0.1226190476190476,0.3722222222222222,0.24960317460317458,0.125,1.0,0.875,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,-1.0
KRAS,exclude_development_P,background,ipin_optimized,3,150,0.9311111111111111,0.8977777777777778,-0.033333333333333326,0.1550925925925926,0.11189931350114415,-0.04319327909144843,0.1111111111111111,0.1,-0.0111111111111111,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,-1.0
CDK2,exclude_development_P,background,ipin_optimized,3,150,0.9022222222222223,0.8622222222222222,-0.040000000000000036,0.4410569105691057,0.08543123543123543,-0.35562567513787025,1.0,0.05,-0.95,1.0,0.0,-1.0,2.0,0.0,-2.0,2.0,1.0,-1.0
HIF1A,exclude_development_P,background,ipin_optimized,3,150,0.6777777777777778,0.9488888888888889,0.2711111111111111,0.09820218096080165,0.3253968253968254,0.22719464443602377,0.2,0.5,0.3,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0
CTNNB1,exclude_development_P,background,ipin_optimized,3,150,0.6244444444444445,0.8022222222222222,0.1777777777777777,0.034278928962889504,0.10512119555312556,0.07084226659023606,0.029411764705882353,0.2,0.17058823529411765,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
TNFRSF1A,exclude_development_P,background,ipin_optimized,3,150,0.7933333333333333,0.7644444444444445,-0.028888888888888853,0.21157059314954052,0.11392729134664618,-0.09764330180289434,0.5,0.14285714285714285,-0.35714285714285715,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,2.0,1.0
BECN1,exclude_development_P,background,ipin_optimized,3,150,0.7866666666666666,0.8422222222222222,0.05555555555555558,0.28841607565011823,0.09675438596491226,-0.19166168968520597,0.5,0.125,-0.375,1.0,0.0,-1.0,2.0,1.0,-1.0,2.0,2.0,0.0
ERN1,exclude_development_P,background,tuna_retrained,4,200,0.74125,0.72875,-0.012499999999999956,0.2909296585767174,0.15030165912518853,-0.14062799945152885,1.0,0.3333333333333333,-0.6666666666666667,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0
TP53,exclude_development_P,background,tuna_retrained,3,150,0.8933333333333333,0.9977777777777778,0.10444444444444445,0.1259259259259259,0.9166666666666666,0.7907407407407407,0.16666666666666666,1.0,0.8333333333333334,0.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0
EGFR,exclude_development_P,background,tuna_retrained,3,150,0.68,0.9977777777777778,0.3177777777777777,0.05434721872991925,0.9166666666666666,0.8623194479367474,0.08333333333333333,1.0,0.9166666666666666,0.0,3.0,3.0,0.0,3.0,3.0,1.0,3.0,2.0
BCL2,exclude_development_P,background,tuna_retrained,3,150,0.8333333333333334,0.6622222222222223,-0.1711111111111111,0.08508403361344537,0.06064247921390778,-0.024441554399537588,0.07142857142857142,0.1111111111111111,0.03968253968253968,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,-1.0
KEAP1,exclude_development_P,background,tuna_retrained,2,150,0.43,0.7766666666666666,0.3466666666666666,0.016802784844021958,0.05600539811066127,0.03920261326663931,0.012987012987012988,0.07692307692307693,0.06393606393606394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BRCA1,exclude_development_P,background,tuna_retrained,3,150,0.9333333333333333,0.8222222222222222,-0.11111111111111116,0.21136173767752714,0.3722222222222222,0.16086048454469504,0.3333333333333333,1.0,0.6666666666666667,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,-2.0
KRAS,exclude_development_P,background,tuna_retrained,3,150,0.9288888888888889,0.8977777777777778,-0.03111111111111109,0.15277777777777776,0.11189931350114415,-0.04087846427663361,0.125,0.1,-0.024999999999999994,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,-1.0
CDK2,exclude_development_P,background,tuna_retrained,3,150,0.9311111111111111,0.8622222222222222,-0.06888888888888889,0.16249999999999998,0.08543123543123543,-0.07706876456876455,0.16666666666666666,0.05,-0.11666666666666665,0.0,0.0,0.0,1.0,0.0,-1.0,3.0,1.0,-2.0
HIF1A,exclude_development_P,background,tuna_retrained,3,150,0.7577777777777778,0.9488888888888889,0.19111111111111112,0.11321070234113711,0.3253968253968254,0.2121861230556883,0.25,0.5,0.25,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0
CTNNB1,exclude_development_P,background,tuna_retrained,3,150,0.6311111111111111,0.8022222222222222,0.1711111111111111,0.06782106782106781,0.10512119555312556,0.03730012773205775,0.14285714285714285,0.2,0.05714285714285716,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
TNFRSF1A,exclude_development_P,background,tuna_retrained,3,150,0.5622222222222222,0.7644444444444445,0.2022222222222223,0.1291101760947483,0.11392729134664618,-0.01518288474810213,0.3333333333333333,0.14285714285714285,-0.19047619047619047,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,2.0,1.0
