target,positive_subset,candidate_set,P,U,evaluated
TNFRSF1A,exclude_prior_train_development_P,all_U,3,450,True
TNFRSF1A,exclude_prior_train_development_P_and_homomers,context,3,150,True
TNFRSF1A,exclude_prior_train_development_P_and_homomers,background,3,150,True
TNFRSF1A,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True
TNFRSF1A,exclude_prior_train_development_P_and_homomers,context_background,3,300,True
TNFRSF1A,exclude_prior_train_development_P_and_homomers,all_U,3,450,True
TNFRSF1A,exclude_any_model_prior_pairs,context,3,149,True
TNFRSF1A,exclude_any_model_prior_pairs,background,3,147,True
TNFRSF1A,exclude_any_model_prior_pairs,low_plausibility,3,150,True
TNFRSF1A,exclude_any_model_prior_pairs,context_background,3,296,True
TNFRSF1A,exclude_any_model_prior_pairs,all_U,3,446,True
TNFRSF1A,exclude_any_model_prior_pairs_and_homomers,context,3,149,True
TNFRSF1A,exclude_any_model_prior_pairs_and_homomers,background,3,147,True
TNFRSF1A,exclude_any_model_prior_pairs_and_homomers,low_plausibility,3,150,True
TNFRSF1A,exclude_any_model_prior_pairs_and_homomers,context_background,3,296,True
TNFRSF1A,exclude_any_model_prior_pairs_and_homomers,all_U,3,446,True
TNFRSF1A,exclude_all_five_prior_pairs,context,0,146,False
TNFRSF1A,exclude_all_five_prior_pairs,background,0,147,False
TNFRSF1A,exclude_all_five_prior_pairs,low_plausibility,0,146,False
TNFRSF1A,exclude_all_five_prior_pairs,context_background,0,293,False
TNFRSF1A,exclude_all_five_prior_pairs,all_U,0,439,False
TNFRSF1A,exclude_all_five_prior_pairs_and_homomers,context,0,146,False
TNFRSF1A,exclude_all_five_prior_pairs_and_homomers,background,0,147,False
TNFRSF1A,exclude_all_five_prior_pairs_and_homomers,low_plausibility,0,146,False
TNFRSF1A,exclude_all_five_prior_pairs_and_homomers,context_background,0,293,False
TNFRSF1A,exclude_all_five_prior_pairs_and_homomers,all_U,0,439,False
BECN1,all_P,context,3,150,True
BECN1,all_P,background,3,150,True
BECN1,all_P,low_plausibility,3,150,True
BECN1,all_P,context_background,3,300,True
BECN1,all_P,all_U,3,450,True
BECN1,exclude_development_P,context,3,150,True
BECN1,exclude_development_P,background,3,150,True
BECN1,exclude_development_P,low_plausibility,3,150,True
BECN1,exclude_development_P,context_background,3,300,True
BECN1,exclude_development_P,all_U,3,450,True
BECN1,exclude_development_P_and_homomers,context,3,150,True
BECN1,exclude_development_P_and_homomers,background,3,150,True
BECN1,exclude_development_P_and_homomers,low_plausibility,3,150,True
BECN1,exclude_development_P_and_homomers,context_background,3,300,True
BECN1,exclude_development_P_and_homomers,all_U,3,450,True
BECN1,exclude_prior_train_development_P,context,1,150,True
BECN1,exclude_prior_train_development_P,background,1,150,True
BECN1,exclude_prior_train_development_P,low_plausibility,1,150,True
BECN1,exclude_prior_train_development_P,context_background,1,300,True
BECN1,exclude_prior_train_development_P,all_U,1,450,True
BECN1,exclude_prior_train_development_P_and_homomers,context,1,150,True
BECN1,exclude_prior_train_development_P_and_homomers,background,1,150,True
BECN1,exclude_prior_train_development_P_and_homomers,low_plausibility,1,150,True
BECN1,exclude_prior_train_development_P_and_homomers,context_background,1,300,True
BECN1,exclude_prior_train_development_P_and_homomers,all_U,1,450,True
BECN1,exclude_any_model_prior_pairs,context,1,146,True
BECN1,exclude_any_model_prior_pairs,background,1,150,True
BECN1,exclude_any_model_prior_pairs,low_plausibility,1,150,True
BECN1,exclude_any_model_prior_pairs,context_background,1,296,True
BECN1,exclude_any_model_prior_pairs,all_U,1,446,True
BECN1,exclude_any_model_prior_pairs_and_homomers,context,1,146,True
BECN1,exclude_any_model_prior_pairs_and_homomers,background,1,150,True
BECN1,exclude_any_model_prior_pairs_and_homomers,low_plausibility,1,150,True
BECN1,exclude_any_model_prior_pairs_and_homomers,context_background,1,296,True
BECN1,exclude_any_model_prior_pairs_and_homomers,all_U,1,446,True
BECN1,exclude_all_five_prior_pairs,context,0,145,False
BECN1,exclude_all_five_prior_pairs,background,0,149,False
BECN1,exclude_all_five_prior_pairs,low_plausibility,0,147,False
BECN1,exclude_all_five_prior_pairs,context_background,0,294,False
BECN1,exclude_all_five_prior_pairs,all_U,0,441,False
BECN1,exclude_all_five_prior_pairs_and_homomers,context,0,145,False
BECN1,exclude_all_five_prior_pairs_and_homomers,background,0,149,False
BECN1,exclude_all_five_prior_pairs_and_homomers,low_plausibility,0,147,False
BECN1,exclude_all_five_prior_pairs_and_homomers,context_background,0,294,False
BECN1,exclude_all_five_prior_pairs_and_homomers,all_U,0,441,False
