target,positive_subset,candidate_set,P,U,evaluated
TP53,exclude_development_P,background,3,150,True
TP53,exclude_development_P,low_plausibility,3,150,True
TP53,exclude_development_P,context_background,3,300,True
TP53,exclude_development_P,all_U,3,450,True
TP53,exclude_development_P_and_homomers,context,3,150,True
TP53,exclude_development_P_and_homomers,background,3,150,True
TP53,exclude_development_P_and_homomers,low_plausibility,3,150,True
TP53,exclude_development_P_and_homomers,context_background,3,300,True
TP53,exclude_development_P_and_homomers,all_U,3,450,True
TP53,exclude_prior_train_development_P,context,3,150,True
TP53,exclude_prior_train_development_P,background,3,150,True
TP53,exclude_prior_train_development_P,low_plausibility,3,150,True
TP53,exclude_prior_train_development_P,context_background,3,300,True
TP53,exclude_prior_train_development_P,all_U,3,450,True
TP53,exclude_prior_train_development_P_and_homomers,context,3,150,True
TP53,exclude_prior_train_development_P_and_homomers,background,3,150,True
TP53,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True
TP53,exclude_prior_train_development_P_and_homomers,context_background,3,300,True
TP53,exclude_prior_train_development_P_and_homomers,all_U,3,450,True
TP53,exclude_any_model_prior_pairs,context,3,150,True
TP53,exclude_any_model_prior_pairs,background,3,150,True
TP53,exclude_any_model_prior_pairs,low_plausibility,3,150,True
TP53,exclude_any_model_prior_pairs,context_background,3,300,True
TP53,exclude_any_model_prior_pairs,all_U,3,450,True
TP53,exclude_any_model_prior_pairs_and_homomers,context,3,150,True
TP53,exclude_any_model_prior_pairs_and_homomers,background,3,150,True
TP53,exclude_any_model_prior_pairs_and_homomers,low_plausibility,3,150,True
TP53,exclude_any_model_prior_pairs_and_homomers,context_background,3,300,True
TP53,exclude_any_model_prior_pairs_and_homomers,all_U,3,450,True
TP53,exclude_all_five_prior_pairs,context,1,149,True
TP53,exclude_all_five_prior_pairs,background,1,149,True
TP53,exclude_all_five_prior_pairs,low_plausibility,1,149,True
TP53,exclude_all_five_prior_pairs,context_background,1,298,True
TP53,exclude_all_five_prior_pairs,all_U,1,447,True
TP53,exclude_all_five_prior_pairs_and_homomers,context,1,149,True
TP53,exclude_all_five_prior_pairs_and_homomers,background,1,149,True
TP53,exclude_all_five_prior_pairs_and_homomers,low_plausibility,1,149,True
TP53,exclude_all_five_prior_pairs_and_homomers,context_background,1,298,True
TP53,exclude_all_five_prior_pairs_and_homomers,all_U,1,447,True
EGFR,all_P,context,3,150,True
EGFR,all_P,background,3,150,True
EGFR,all_P,low_plausibility,3,150,True
EGFR,all_P,context_background,3,300,True
EGFR,all_P,all_U,3,450,True
EGFR,exclude_development_P,context,3,150,True
EGFR,exclude_development_P,background,3,150,True
EGFR,exclude_development_P,low_plausibility,3,150,True
EGFR,exclude_development_P,context_background,3,300,True
EGFR,exclude_development_P,all_U,3,450,True
EGFR,exclude_development_P_and_homomers,context,3,150,True
EGFR,exclude_development_P_and_homomers,background,3,150,True
EGFR,exclude_development_P_and_homomers,low_plausibility,3,150,True
EGFR,exclude_development_P_and_homomers,context_background,3,300,True
EGFR,exclude_development_P_and_homomers,all_U,3,450,True
EGFR,exclude_prior_train_development_P,context,3,150,True
EGFR,exclude_prior_train_development_P,background,3,150,True
EGFR,exclude_prior_train_development_P,low_plausibility,3,150,True
EGFR,exclude_prior_train_development_P,context_background,3,300,True
EGFR,exclude_prior_train_development_P,all_U,3,450,True
EGFR,exclude_prior_train_development_P_and_homomers,context,3,150,True
EGFR,exclude_prior_train_development_P_and_homomers,background,3,150,True
