target,model,positive_subset,candidate_set,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
ERN1,tuna_retrained,all_P,context_background,4,400,404,0.6575,0.2637616400158356,1,1,1.0,1.0,1.0,0.25,0.2,20.2,0.3903800499921017,1.0,1.0,0.25,0.1,10.1,0.3903800499921017,1.0,1.0,0.25,0.05,5.05,0.3903800499921017,1.0
ERN1,tuna_original,all_P,context_background,4,400,404,0.72125,0.26477038960387345,1,1,1.0,1.0,1.0,0.25,0.2,20.2,0.3903800499921017,1.0,1.0,0.25,0.1,10.1,0.3903800499921017,1.0,1.0,0.25,0.05,5.05,0.3903800499921017,1.0
ERN1,tuna_selected_31k,all_P,context_background,4,400,404,0.7575,0.07690205558982546,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,10.1,0.13012668333070054,1.0,2.0,0.5,0.1,10.1,0.22563337419340843,1.0
ERN1,ipin_baseline,all_P,all_U,4,600,604,0.47541666666666665,0.016871955060277798,22,22,22.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ipin_optimized,all_P,all_U,4,600,604,0.4995833333333333,0.019479688783887575,18,18,18.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.05,7.550000000000001,0.09189894336865458,1.0
ERN1,tuna_retrained,all_P,all_U,4,600,604,0.7229166666666667,0.2620983755352065,1,1,1.0,1.0,1.0,0.25,0.2,30.200000000000003,0.3903800499921017,1.0,1.0,0.25,0.1,15.100000000000001,0.3903800499921017,1.0,1.0,0.25,0.05,7.550000000000001,0.3903800499921017,1.0
ERN1,tuna_original,all_P,all_U,4,600,604,0.8091666666666667,0.26440459830290336,1,1,1.0,1.0,1.0,0.25,0.2,30.200000000000003,0.3903800499921017,1.0,1.0,0.25,0.1,15.100000000000001,0.3903800499921017,1.0,1.0,0.25,0.05,7.550000000000001,0.3903800499921017,1.0
ERN1,tuna_selected_31k,all_P,all_U,4,600,604,0.7429166666666667,0.06581847831184902,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,15.100000000000001,0.13012668333070054,1.0,1.0,0.25,0.05,7.550000000000001,0.13012668333070054,1.0
ERN1,ipin_baseline,exclude_development_P,context,4,200,204,0.46,0.03500575511445077,13,13,13.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.05,2.5500000000000003,0.10253313861822189,1.0
ERN1,ipin_optimized,exclude_development_P,context,4,200,204,0.49,0.05789471816628731,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.13905617951077562,1.0,1.0,0.25,0.05,2.5500000000000003,0.13905617951077562,1.0
ERN1,tuna_retrained,exclude_development_P,context,4,200,204,0.57375,0.2704905402347004,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
