row_index,tuna_selected_31k_seed20260803_score,tuna_selected_31k_seed20260817_score,tuna_selected_31k_seed20260831_score,tuna_selected_31k_score
77,-7.229097366333008,-6.69564962387085,-6.685080051422119,-6.869942347208659
78,-5.646474361419678,-5.963943958282471,-5.443187236785889,-5.684535185496013
79,-5.271744728088379,-5.412514686584473,-5.0233025550842285,-5.235853989919026
80,-4.014579772949219,-6.609505653381348,-4.0465545654296875,-4.890213330586751
81,-6.125669956207275,-6.37470006942749,-3.140531063079834,-5.2136336962382
82,-4.342318058013916,-5.723047733306885,-4.570956707000732,-4.878774166107178
83,-7.038049697875977,-6.954864978790283,-6.978893280029297,-6.9906026522318525
84,-5.274406909942627,-4.894556522369385,-3.940368890762329,-4.703110774358113
85,-3.8279833793640137,-6.5086445808410645,-4.948586940765381,-5.095071633656819
86,-3.629894971847534,-5.355123519897461,-2.962575674057007,-3.9825313886006675
87,-6.990780353546143,-7.313908100128174,-6.43991231918335,-6.914866924285889
88,-3.4758734703063965,-4.540325164794922,-3.6696736812591553,-3.8952907721201577
89,-3.6113810539245605,-6.103453159332275,-3.5500271320343018,-4.421620448430379
90,-5.686045169830322,-4.324451446533203,-5.718630790710449,-5.243042469024658
91,-5.101789951324463,-4.512657165527344,-4.2397260665893555,-4.618057727813721
92,-4.597811222076416,-6.550914764404297,-7.082400798797607,-6.07704226175944
93,-4.72864294052124,-5.916826248168945,-4.960482120513916,-5.2019837697347
94,-4.627914905548096,-6.205766677856445,-3.80122971534729,-4.87830376625061
95,-6.086108207702637,-7.630970001220703,-6.632911205291748,-6.783329804738362
96,-3.6690659523010254,-3.0557262897491455,-4.428032398223877,-3.7176082134246826
97,-5.130001544952393,-4.960478782653809,-5.302916526794434,-5.131132284800212
98,-4.765616416931152,-4.412640571594238,-5.042996883392334,-4.740417957305908
99,-6.333621025085449,-6.583718776702881,-6.601755619049072,-6.506365140279134
100,-7.975702285766602,-5.574557304382324,-6.5759968757629395,-6.708752155303955
